노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
272,북부운수차고지(가상) - 중곡초등학교(가상),1,북부운수차고지(가상),4,3,3,5,6,4,2,4,3,3,5,2,3,3,3,7,2,1,1,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),2,방약국앞,7,3,6,9,15,11,8,6,7,7,8,8,10,7,6,12,7,2,6,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),3,면남초등학교,9,4,8,12,16,13,8,7,9,9,13,9,10,11,10,14,12,3,7,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),4,지하철7호선사가정역,11,5,9,20,20,16,10,8,11,12,13,10,13,15,15,15,11,4,8,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),5,면목우체국.녹색병원,18,6,11,23,28,21,11,9,13,15,16,10,14,17,21,18,12,8,8,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),6,면동초등학교,22,8,14,28,35,24,12,11,12,13,18,8,15,16,19,21,14,9,9,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),7,면목본동주민센터.면목정보도서관,23,12,17,31,38,27,13,14,12,15,16,9,15,17,20,26,13,8,8,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),8,지하철7호선면목역,25,16,16,34,40,29,16,19,14,22,21,17,16,21,22,29,14,10,11,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),9,면목초등학교,11,14,16,35,43,30,16,16,14,23,22,18,17,18,24,28,12,7,10,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),10,지하철7호선상봉역,26,15,16,37,47,32,17,21,15,27,22,20,21,19,26,28,10,12,10,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),11,상봉역.중랑우체국,24,15,21,44,54,46,19,24,17,27,21,24,20,21,26,29,14,14,10,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),12,중랑역.동부시장,22,16,18,42,51,41,22,25,16,30,24,23,17,18,26,24,10,13,9,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),13,중랑교,21,19,19,39,51,41,24,29,21,28,17,25,16,18,21,21,9,13,7,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),14,삼육서울병원,21,14,20,39,48,40,22,28,17,26,15,22,17,20,23,18,9,12,8,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),15,시조사삼거리,18,12,20,41,48,41,22,27,18,26,19,25,16,21,21,13,6,11,10,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),16,떡전교사거리.동대문노인복지관,20,14,18,40,51,42,23,29,17,27,15,29,17,23,16,17,10,10,11,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),17,청량리미주아파트.동대문세무서,20,13,17,33,49,38,21,22,17,26,14,27,16,22,20,12,9,7,5,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),18,청량리역환승센타,20,11,19,31,41,39,19,24,14,26,19,24,19,20,26,15,11,11,10,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),19,청량리.청과물도매시장,20,11,22,28,39,37,19,25,17,29,25,23,22,21,28,17,12,12,10,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),20,제기동역.서울약령시,24,10,23,28,39,38,20,24,20,28,27,23,24,25,29,22,17,14,11,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),21,용두동사거리.한국의류시험연구원,22,10,14,24,36,41,22,23,21,27,18,22,23,26,33,24,20,15,9,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),22,신설동역,23,10,15,25,31,42,23,25,23,27,24,24,24,29,38,27,20,17,13,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),23,신설동역1번출구,29,8,15,28,33,41,24,25,26,28,23,25,25,32,38,33,18,19,12,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),24,보문동주민센터,31,11,14,31,41,35,24,25,28,30,24,24,31,32,37,33,17,21,13,2,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),25,보문동성당,33,10,19,35,43,39,26,27,25,30,24,23,29,32,35,30,15,17,14,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),26,보문역,33,9,22,39,53,42,37,29,26,25,30,23,29,33,33,25,13,15,12,0,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),27,성북구청.성북경찰서,33,17,18,40,59,45,38,31,24,28,30,22,29,26,28,19,12,12,10,6,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),28,삼선동주민센터,29,18,21,41,61,50,39,32,23,24,28,25,24,30,21,19,13,12,10,1,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),29,삼선교.한성대학교,31,25,25,55,61,50,46,40,27,28,25,26,21,30,27,19,16,20,11,4,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),30,혜화동로터리.여운형활동터,27,24,27,53,62,49,44,38,29,27,28,30,24,23,25,19,18,19,14,8,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),31,명륜3가.성대입구,24,23,29,52,52,46,47,38,29,28,31,28,31,25,34,20,17,18,19,11,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),32,창경궁.서울대학교병원,25,22,24,50,55,44,50,37,29,27,26,32,31,32,37,21,18,19,22,11,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),33,창덕궁,0,22,21,40,50,38,51,34,30,27,25,33,36,36,38,23,22,21,23,13,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),34,안국역.서울공예박물관,0,18,20,33,50,42,52,34,30,29,25,35,38,37,46,25,28,27,23,14,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),35,덕성여중고,0,18,19,33,44,41,44,40,30,29,33,36,36,42,49,30,28,27,25,16,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),36,사직동주민센터,0,21,18,32,48,48,39,41,39,48,42,43,41,48,59,48,36,31,35,18,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),37,사직단.어린이도서관,0,22,17,33,50,45,39,41,41,47,41,47,43,49,60,51,39,30,33,19,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),38,이대부고,0,19,16,25,44,41,33,35,28,40,30,40,52,46,57,47,37,30,32,17,0,0,0,0,
272,북부운수차고지(가상) - 중곡초등학교(가상),39,이대부중,0,13,12,19,29,31,30,27,29,35,24,38,47,44,56,44,34,30,31,14,0,0,0,0,
