노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
130,우이동차고지(기점가상) - 우이동차고지종점,1,우이동차고지(기점가상),1,1,2,2,5,4,4,4,4,4,5,4,3,5,8,7,4,3,2,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,2,우이동차고지기점,0,0,0,1,0,0,0,0,0,0,2,5,3,0,2,5,4,4,0,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,3,한국사회봉사회,1,2,2,2,7,4,3,2,2,4,2,6,0,3,4,5,2,1,1,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,4,연산군.정의공주묘,4,5,3,7,12,5,5,9,6,5,6,3,8,7,7,6,4,3,4,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,5,방학동신동아타워,10,5,7,15,18,9,7,12,8,6,7,6,9,11,9,6,5,3,3,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,6,방학동신동아아파트,15,8,13,33,33,16,13,16,9,10,7,8,8,13,11,6,7,6,4,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,7,국민은행방학지점,19,9,16,43,42,21,14,18,15,14,11,11,13,12,14,6,8,7,4,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,8,신한은행방학동지점,23,12,22,54,56,30,17,21,18,16,16,13,16,16,19,8,11,8,7,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,9,방학사거리,20,13,22,61,59,32,23,20,19,17,14,14,17,20,19,10,12,8,6,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,10,정병원,15,15,23,58,58,31,25,18,19,17,15,11,15,23,21,14,10,10,8,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,11,도봉보건소,13,17,22,61,58,44,35,17,22,20,16,14,22,24,27,15,13,11,5,2,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,12,도봉구민회관.도봉문화원(중),4,15,29,57,57,40,34,18,19,17,17,13,24,26,25,15,11,11,9,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,13,쌍문역,14,12,15,52,30,25,18,14,17,18,14,11,19,17,18,14,10,14,9,1,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,14,우이1교앞,15,13,16,32,30,28,23,17,16,18,17,11,18,17,20,14,12,17,8,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,15,수유3동우체국,18,15,15,32,32,33,22,17,17,17,18,10,15,20,18,14,14,16,10,2,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,16,수유(강북구청)역,20,20,16,28,36,31,19,21,18,17,16,18,19,17,24,15,11,21,9,4,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,17,수유역,24,23,18,28,34,31,20,19,19,18,19,14,20,13,24,14,11,19,10,3,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,18,수유시장.성신여대미아캠퍼스앞,27,26,20,30,38,32,21,18,18,15,25,18,23,17,30,14,13,16,12,4,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,19,미아역.신일중고,30,28,21,38,38,33,19,18,16,20,23,21,22,18,27,16,13,18,11,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,20,도봉세무서.성북시장,30,29,24,34,38,37,20,19,16,21,22,17,24,20,30,20,13,16,10,7,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,21,미아사거리역,34,34,27,37,50,46,27,26,22,31,22,21,25,25,37,25,23,17,13,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,22,성가복지병원,35,34,30,40,52,46,21,27,20,27,21,17,27,26,36,23,23,19,13,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,23,종암사거리입구,38,35,29,44,53,41,22,28,22,25,22,19,26,27,35,24,24,21,13,12,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,24,종암동주민센터,37,25,28,50,60,40,25,28,28,26,23,18,27,29,37,25,23,22,15,8,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,25,숭례초교,0,36,27,54,63,42,22,29,28,27,24,20,24,36,39,25,22,22,16,0,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,26,고려대역.고대앞삼거리,0,36,26,48,60,43,24,32,27,24,24,21,28,38,43,22,23,24,13,17,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,27,홍파초등학교,0,41,27,47,59,44,25,31,27,23,25,24,30,40,43,24,23,23,15,13,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,28,경동시장,0,42,27,46,58,42,30,34,30,25,25,28,36,42,48,25,25,22,16,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,29,경동시장사거리,0,44,26,42,59,41,30,32,29,27,28,29,36,43,55,27,28,26,17,18,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,30,동대문구청,0,45,28,39,55,43,28,29,31,31,27,31,34,42,55,27,24,27,18,16,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,31,신답초등학교.청계한신휴플러스,0,45,29,38,55,40,28,23,29,32,31,30,32,40,56,26,23,21,18,4,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,32,답십리역사거리,0,54,26,37,53,31,26,27,26,24,30,28,25,45,55,26,20,18,18,15,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,33,청년회의소.서울새활용플라자,0,50,24,32,37,26,25,20,24,20,29,27,25,42,53,28,17,17,18,17,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,34,장한평역,0,53,19,33,30,24,20,18,23,18,26,25,29,46,52,33,15,17,19,16,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,35,군자교입구,0,54,17,33,32,24,19,16,24,18,21,23,27,43,52,32,13,20,20,17,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,36,군자역.용마초등학교,0,53,21,34,43,23,15,14,20,17,23,22,23,53,66,34,18,20,23,17,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,37,중곡동입구삼거리,0,50,22,37,41,22,16,12,20,16,16,21,21,50,68,32,16,16,21,14,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,38,어린이대공원후문아차산역,0,53,23,42,47,26,16,13,25,15,22,21,23,43,69,33,18,18,21,14,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,39,새밭교회,0,47,24,37,44,24,17,11,21,14,23,21,23,36,68,32,16,17,19,10,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,40,광나루역,0,38,23,26,33,29,15,10,21,18,22,23,17,37,59,30,14,19,19,12,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,41,천호역,0,18,10,14,17,12,12,7,14,13,12,20,11,26,42,28,15,16,15,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,42,강동역,0,14,7,8,13,11,10,8,11,11,10,22,10,18,41,32,20,17,15,10,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,43,강동성심병원(동신중학교),0,12,6,10,10,9,7,5,5,11,9,15,11,15,37,28,15,15,13,5,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,44,천동초등학교.천호도서관,0,11,6,8,15,14,8,8,6,9,10,14,10,13,28,19,11,8,10,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,45,강동모커리한방병원,0,11,7,18,20,23,8,14,10,11,9,12,7,14,16,10,12,8,7,4,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,46,길동역1번출구,0,8,8,21,31,25,12,19,15,9,13,15,11,14,21,11,11,9,10,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,47,서울프라임한방병원,0,5,7,26,35,23,13,22,14,10,15,18,13,19,31,15,10,11,9,5,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,48,길동사거리.강동세무서,0,5,7,29,42,23,16,22,12,12,16,17,13,21,42,15,11,13,12,7,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,49,강동역1번출구.동신중학교,0,9,9,29,41,25,17,21,15,12,14,15,17,26,46,20,9,18,15,7,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,50,천호역5번출구.천호사거리,0,10,12,30,48,21,18,19,15,12,16,21,20,28,41,23,16,23,18,10,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,51,천호역1번출구.문구거리,0,12,15,33,53,22,21,27,20,13,18,25,23,35,41,28,19,22,15,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,52,광나루역,0,11,10,35,53,24,25,22,24,20,19,23,40,41,44,37,25,23,18,15,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,53,새밭교회,0,12,11,38,50,18,24,27,21,19,20,21,41,35,44,34,24,20,18,8,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,54,어린이대공원후문아차산역,0,14,14,43,47,22,22,27,21,24,22,25,30,31,33,32,26,19,17,21,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,55,중곡동입구삼거리,0,0,15,43,48,25,24,26,23,26,18,17,25,30,33,30,24,20,18,18,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,56,군자역.용마초등학교,0,11,17,49,47,26,24,25,21,25,19,25,22,33,39,33,25,19,17,18,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,57,군자교입구,0,12,17,48,47,26,22,24,22,25,18,25,22,33,40,35,24,19,19,17,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,58,장한평역,0,13,16,48,46,27,21,23,21,23,21,24,25,35,40,47,30,21,23,18,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,59,청년회의소,0,14,15,48,48,25,20,25,22,22,20,25,24,38,42,54,29,23,26,19,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,60,답십리역사거리,0,0,19,54,58,29,22,27,24,22,22,28,21,46,47,56,29,29,25,12,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,61,신답초등학교.청계한신휴플러스,0,0,17,52,57,28,22,25,25,22,22,28,21,39,47,57,30,29,21,16,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,62,동대문구청.용신동주민센터,0,0,13,29,48,25,21,20,23,25,19,29,22,45,46,54,26,28,27,14,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,63,경동시장앞,0,0,12,27,45,24,19,24,20,27,22,32,32,45,47,54,26,27,26,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,64,홍파초등학교,0,0,12,27,42,24,18,25,18,14,25,24,34,45,45,50,24,26,23,14,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,65,제기동한신아파트앞,0,0,13,25,39,27,16,24,16,15,21,23,34,39,45,43,23,25,19,13,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,66,고려대역.고대앞삼거리,0,0,13,27,43,25,17,22,20,22,23,25,42,44,49,49,22,23,23,14,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,67,숭례초등학교,0,0,11,25,30,28,17,23,18,24,24,26,40,42,49,45,24,24,24,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,68,종암동주민센터,0,0,10,27,29,28,17,23,18,24,23,26,39,41,53,39,21,22,22,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,69,종암사거리입구,0,0,6,26,28,30,14,22,21,26,22,25,42,41,58,44,23,19,23,12,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,70,성가복지병원,0,0,9,27,29,26,13,22,18,18,22,26,35,43,59,44,21,21,21,10,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,71,미아사거리역,0,0,7,21,27,19,10,19,15,14,18,28,35,31,54,41,26,19,22,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,72,도봉세무서.성북시장,0,0,4,11,29,14,11,18,16,11,16,27,30,31,50,37,22,18,18,11,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,73,미아역.신일중고,0,0,4,11,27,13,10,15,14,11,15,23,30,27,49,33,20,19,17,14,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,74,수유시장.성신여대미아캠퍼스앞,0,0,3,13,25,13,13,9,13,10,15,20,25,27,44,32,23,17,14,18,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,75,수유역.강북구청,0,0,6,16,25,18,7,12,12,13,15,18,26,24,37,34,19,21,15,18,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,76,수유3동우체국,0,0,2,15,26,19,6,13,11,11,15,19,24,22,31,32,16,19,15,16,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,77,우이1교앞,0,0,5,13,22,18,6,9,10,11,14,18,22,21,28,29,23,17,13,12,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,78,쌍문역,0,0,6,16,23,17,9,15,13,14,15,21,31,33,49,60,28,25,26,19,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,79,도봉구민회관.도봉문화원(중),0,0,5,13,16,21,11,14,14,16,14,20,32,32,45,54,27,24,26,16,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,80,도봉보건소.북한산아이파크아파트,0,0,6,13,13,22,10,14,12,7,15,22,29,33,37,51,26,20,25,13,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,81,방학사거리,0,0,2,9,10,14,8,10,11,10,10,16,22,32,29,45,22,16,20,10,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,82,신한은행방학동지점,0,0,1,6,9,10,6,5,9,7,8,12,13,9,22,27,19,14,16,6,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,83,국민은행방학지점,0,0,2,4,6,6,4,4,7,5,6,10,8,8,17,15,13,9,10,4,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,84,방학동신동아아파트,0,0,0,9,4,2,2,2,4,4,4,7,6,5,12,11,9,6,7,3,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,85,방학동신동아타워,0,0,2,7,2,2,2,2,2,2,2,4,4,2,8,6,8,3,4,1,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,86,연산군정의공주묘,0,0,0,4,3,3,1,1,1,0,1,3,1,0,3,2,2,1,3,2,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,87,한국사회봉사회,0,0,0,2,1,1,0,0,0,0,0,2,0,1,1,0,1,0,2,1,0,0,0,0,
130,우이동차고지(기점가상) - 우이동차고지종점,88,우이동차고지종점,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
