노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,35,서울역버스환승센터,0,9,7,14,17,11,10,9,10,19,15,30,29,27,46,21,15,15,20,14,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,36,갈월동,0,8,6,15,17,11,8,10,9,20,16,33,32,26,42,20,14,15,24,12,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,37,숙대입구역,0,7,7,14,13,9,7,12,11,22,15,16,37,26,37,22,15,16,23,14,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,38,삼각지역,0,9,8,18,24,8,8,11,19,21,16,17,36,32,36,20,17,20,24,15,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,39,용산우체국,0,7,4,15,25,7,9,13,22,20,16,17,33,27,33,21,20,24,23,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,40,신용산역,0,6,5,19,22,9,10,12,23,17,15,17,33,30,39,26,26,29,27,20,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,41,한강대교북단.LG유플러스,0,8,7,20,18,10,11,11,10,12,16,17,35,31,49,28,28,26,30,20,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,42,노들섬,0,0,0,5,17,8,8,0,0,0,15,17,35,29,40,25,12,10,31,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,43,노들역,0,10,7,22,22,10,9,10,22,18,17,19,30,30,47,28,27,25,26,16,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,44,노량진역,0,11,5,20,28,11,8,11,24,17,15,23,29,28,41,31,26,28,30,14,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,45,노량진수산시장.CTS기독교TV,0,12,8,27,32,10,9,13,18,20,18,25,32,35,38,41,25,29,32,20,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,46,현대아파트.유한양행,0,4,5,30,33,9,10,14,13,20,22,25,30,36,36,36,24,28,31,31,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,47,대방역1번출구앞,0,12,10,36,42,23,12,14,19,23,23,27,35,43,43,48,32,33,29,27,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,48,공군호텔,0,15,2,33,39,25,13,13,19,23,18,22,30,39,40,42,32,31,29,24,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,49,서울지방병무청,0,19,10,30,39,21,12,10,20,22,20,22,29,36,42,38,28,26,26,20,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,50,보라매역.동작세무서,0,19,10,32,43,20,12,11,21,17,19,21,34,39,42,40,27,27,26,18,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,51,보라매공원,0,19,10,26,38,18,9,13,21,14,17,21,37,41,38,27,23,22,21,14,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,52,경남아너스빌아파트,0,18,8,38,41,19,11,16,18,12,15,19,34,34,36,17,22,16,18,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,53,강남성심병원.대림성모병원,0,17,7,35,34,20,12,13,13,15,14,22,30,41,35,15,22,14,18,10,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,54,서울영림초등학교,0,13,4,22,32,22,11,10,12,12,12,19,25,33,31,15,21,13,15,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,55,구로디지털단지역,0,12,8,27,34,16,6,11,9,11,12,24,23,50,58,33,32,30,29,11,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,56,문성초등학교,0,10,7,8,31,10,4,9,8,10,10,20,19,40,52,30,32,25,28,12,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,57,금천우체국,0,8,7,9,22,7,5,8,9,7,7,15,18,27,43,23,29,24,19,13,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,58,말미고개.금천소방서,0,6,6,5,21,6,6,3,8,5,7,12,15,22,37,31,18,15,13,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,59,금천구청.금천경찰서,0,2,3,4,17,4,2,4,7,5,3,11,11,18,22,20,14,11,9,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,60,시흥사거리.시흥대교,0,1,1,3,4,2,1,3,4,2,3,6,5,10,10,15,9,8,5,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,61,독산한신아파트,0,0,5,18,22,7,3,4,4,2,2,3,10,2,2,2,2,1,2,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,62,금하마을,0,0,10,23,36,15,4,5,6,3,4,4,8,3,3,5,0,1,0,2,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,63,시흥대교,0,0,18,38,42,17,8,6,3,3,5,3,8,10,17,8,3,2,2,1,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,64,금천구청.금천경찰서,0,0,27,59,65,28,16,10,6,10,9,8,11,15,23,11,7,7,3,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,65,말미고개.금천소방서,0,0,36,61,67,44,16,12,6,11,9,9,13,17,28,8,4,8,4,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,66,금천우체국,0,0,25,63,68,53,21,16,10,15,11,13,15,28,46,11,7,11,5,7,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,67,문성초등학교,0,0,23,59,68,49,22,20,12,14,12,13,20,26,46,10,9,8,2,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,68,구로디지털단지역,0,0,20,41,45,32,19,13,15,10,13,13,17,24,40,20,11,15,10,12,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,69,동작상떼빌아파트,0,0,23,45,46,31,20,15,11,11,14,13,19,24,40,19,10,14,9,12,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,70,신대방경남아파트,0,0,26,49,48,31,22,15,17,11,15,13,23,26,40,17,11,15,13,7,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,71,신대방현대아파트,0,0,32,56,62,43,23,20,19,14,16,18,26,35,37,14,12,16,12,7,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,72,보라매공원,0,0,31,49,57,38,24,26,21,14,18,17,32,36,34,12,11,15,10,8,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,73,보라매역.동작세무서,0,0,28,44,56,38,24,26,24,14,18,17,30,32,42,14,7,13,12,7,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,74,강남중학교,0,0,30,43,62,39,27,28,23,15,19,19,30,33,48,15,11,14,11,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,75,서울지방병무청앞,0,0,32,45,63,34,29,29,22,14,22,21,32,30,52,21,9,12,7,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,76,공군호텔,0,0,32,47,62,43,29,30,22,25,24,24,32,31,51,20,8,12,11,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,77,대방역,0,0,25,33,42,41,23,20,19,26,21,20,27,21,35,19,8,10,5,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,78,현대아파트,0,0,24,34,38,45,22,17,19,18,21,19,24,18,31,16,8,8,12,7,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,79,노량진수산시장.CTS기독교TV,0,0,22,32,37,38,20,17,20,19,17,20,20,18,28,15,8,8,7,5,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,80,노량진역,0,0,21,35,40,34,20,18,20,26,18,18,17,20,27,15,8,6,11,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,81,노들역,0,0,19,38,44,36,21,20,22,19,19,17,16,16,29,15,8,6,12,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,82,노들섬,0,0,0,33,42,30,20,17,18,25,16,11,14,19,28,19,8,0,0,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,83,한강대교북단.LG유플러스,0,0,16,39,44,32,24,19,21,25,21,18,17,22,40,25,9,7,10,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,84,신용산역,0,0,0,36,44,30,20,15,17,25,25,18,20,22,30,19,14,8,10,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,85,용산우체국,0,0,0,29,42,26,19,16,16,20,26,16,20,25,30,16,11,7,5,5,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,86,삼각지역,0,0,0,30,42,18,17,12,18,18,23,17,21,22,20,13,11,7,8,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,87,숙대입구역,0,0,0,32,37,23,17,13,21,20,23,18,21,20,22,17,14,8,5,5,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,88,갈월동,0,0,0,35,39,25,20,13,19,23,15,19,20,21,28,19,15,7,4,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,89,서울역버스환승센터.강우규의거터,0,0,0,35,45,24,18,13,18,24,23,18,18,19,28,17,12,7,6,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,90,시청앞,0,0,0,28,24,18,18,14,19,26,21,26,22,28,42,19,14,12,11,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,91,서울신문사,0,0,0,25,18,14,16,15,19,22,18,28,26,28,54,21,16,17,12,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,92,종로1가,0,0,0,10,19,9,13,12,17,22,21,26,26,31,61,24,16,25,14,10,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,93,종로2가,0,0,0,8,16,9,13,13,17,21,22,30,32,34,61,44,16,29,19,18,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,94,종로3가.탑골공원,0,0,0,13,15,12,10,15,15,19,22,38,36,40,61,47,24,33,27,20,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,95,종로4가.종묘,0,0,0,9,12,11,12,9,16,20,22,38,35,44,58,50,18,34,30,21,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,96,종로5가.광장시장,0,0,0,16,15,11,9,12,16,20,21,40,38,47,57,50,21,33,34,19,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,97,종로5가.효제초등학교,0,0,0,15,10,9,10,10,15,21,21,38,36,48,52,48,21,31,31,20,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,98,종로5가.효제동.김상옥의거터,0,0,0,9,12,7,8,10,10,19,20,38,29,45,56,39,18,24,32,8,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,99,방송통신대.이화장,0,0,0,9,10,6,9,11,14,21,22,36,32,44,55,47,24,29,31,21,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,100,혜화역.마로니에공원,0,0,0,7,9,5,11,7,14,21,20,35,26,44,53,46,23,30,30,18,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,101,혜화역.동성중고(장면총리가옥),0,0,0,5,7,6,10,9,14,22,23,36,31,44,53,47,26,29,26,26,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,102,삼선교.한성대학교.조소앙활동터,0,0,0,6,11,4,10,10,17,24,24,31,32,40,54,42,26,26,23,24,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,103,돈암사거리.성신여대입구,0,0,0,12,15,7,9,9,18,23,22,30,32,38,54,49,25,30,25,21,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,104,미아리고개.미아리예술극장,0,0,0,15,16,9,10,9,19,20,22,33,34,36,48,48,28,29,25,19,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,105,길음뉴타운,0,0,0,13,22,8,9,10,20,19,22,30,31,33,41,46,26,24,23,17,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,106,월곡뉴타운,0,0,0,16,22,8,8,10,21,17,23,28,30,34,43,45,25,21,22,14,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,107,미아사거리역,0,0,0,11,28,9,10,13,26,21,23,25,32,27,39,36,26,19,22,11,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,108,도봉세무서.성북시장,0,0,0,1,22,9,7,13,23,19,22,24,28,28,39,32,16,17,21,10,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,109,미아역.신일중고,0,0,0,0,16,8,7,10,12,18,21,23,30,28,38,30,28,17,18,12,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,110,수유시장.성신여대미아캠퍼스앞,0,0,0,1,16,8,8,11,18,11,20,18,26,30,37,31,27,16,23,11,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,111,수유역.강북구청,0,0,0,7,30,15,12,12,20,12,22,16,24,32,39,28,25,14,30,9,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,112,수유3동우체국,0,0,0,0,28,13,10,11,19,9,23,18,23,33,35,24,21,13,29,8,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,113,우이1교앞,0,0,0,6,22,13,11,9,16,9,22,21,20,30,30,22,20,10,26,6,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,114,쌍문역,0,0,0,5,29,22,9,10,17,18,18,29,21,31,38,36,23,13,34,7,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,115,도봉구민회관.도봉문화원(중),0,0,0,0,29,23,8,8,14,16,14,26,21,23,35,26,21,10,27,5,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,116,도봉보건소.북한산아이파크아파트,0,0,0,0,27,18,9,8,11,17,14,27,17,22,31,23,18,9,15,3,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,117,도봉소방서.방학남부역,0,0,0,0,23,15,7,5,11,17,11,20,17,14,27,18,16,5,11,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,118,신도봉시장.도봉구청.방학북부역,0,0,0,0,20,14,7,7,10,10,9,16,15,12,26,20,16,5,10,2,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,119,신도봉사거리,0,0,0,0,21,11,2,6,8,7,8,14,14,12,23,18,12,5,6,1,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,120,서울북부지방법원.검찰청.도봉역성황당,0,0,0,0,18,8,6,5,7,7,5,10,12,10,19,16,6,4,4,4,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,121,도봉한신아파트,0,0,0,0,17,6,6,2,5,4,3,9,11,6,10,11,5,3,3,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,122,도봉산역,0,0,0,0,6,3,2,1,1,3,1,1,7,3,5,5,3,1,1,0,0,0,0,0,
150,도봉산역광역환승센터 - 도봉산역광역환승센터,123,도봉산역광역환승센터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
