노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
340,강동공영차고지 - 강일리버파크6단지,1,강동공영차고지,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,2,강일리버파크6단지,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,3,강일리버파크8단지,3,2,4,6,5,5,3,3,3,4,3,4,3,2,2,2,1,0,1,0,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,4,강일고등학교.강일리버파크7단지,0,6,7,17,14,8,5,19,5,4,4,5,14,4,3,2,2,1,1,2,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,5,강일초등학교,6,8,16,34,34,18,6,21,5,7,6,7,12,6,5,3,4,2,2,0,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,6,강동공영차고지,7,11,25,37,39,20,9,22,7,10,9,8,13,9,13,6,6,5,3,3,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,7,고덕리엔파크1단지,2,13,18,39,45,21,12,20,7,12,11,12,15,11,14,8,5,3,1,3,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,8,해뜨는주유소,5,12,24,36,46,20,16,19,6,11,8,11,15,10,17,9,7,5,4,5,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,9,상일동역4번출구.센트럴푸르지오,6,10,18,31,34,23,15,20,7,13,12,14,21,10,19,10,8,6,9,6,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,10,상일동역1번출구,9,6,17,32,44,31,17,22,10,14,12,9,24,15,30,11,10,8,11,7,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,11,고덕그라시움,0,3,21,34,46,30,18,17,9,12,10,11,21,15,21,13,9,6,6,7,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,12,고덕평생학습관.온조대왕체육관,0,7,13,38,45,28,10,22,11,12,13,15,24,15,28,17,12,7,13,0,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,13,고덕역,0,8,22,38,45,29,17,29,19,14,13,16,33,18,36,21,16,14,28,11,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,14,배재중고등학교,9,11,26,43,49,30,17,23,20,16,13,17,37,22,35,24,15,10,29,13,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,15,동부기술교육원.장애인종합복지관,0,10,27,44,48,29,15,23,12,13,13,18,37,21,34,22,15,18,20,4,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,16,명일초등학교,10,12,27,53,51,30,17,30,21,17,16,19,35,19,32,23,15,13,26,14,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,17,암사3동주민센터(강동롯데캐슬퍼스트),8,15,20,69,58,35,22,28,19,23,19,20,36,21,36,21,15,21,21,14,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,18,강일중.선사고,14,13,26,65,67,40,33,28,21,22,22,26,45,25,31,25,16,18,19,8,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,19,신암중학교,13,15,25,68,70,45,36,28,22,20,27,25,45,25,32,30,15,15,19,12,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,20,삼성광나루아파트.암사동유적,22,11,24,52,67,42,36,20,19,18,25,22,43,22,28,23,14,14,16,14,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,21,암사역선사현대아파트,33,11,15,20,24,28,24,13,14,12,20,13,29,19,32,16,13,11,14,11,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,22,천호동공원,36,14,16,24,35,27,27,14,16,13,23,17,27,21,31,16,12,12,12,12,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,23,서울현대요양병원,35,14,14,25,38,25,28,12,17,11,18,14,23,21,25,15,11,10,10,6,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,24,천호역현대백화점.노동권익센터,29,15,15,23,36,20,18,13,12,13,13,15,20,17,20,15,9,13,10,11,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,25,천호역.풍납시장,36,35,13,22,41,20,14,11,11,18,11,21,22,18,19,20,12,14,16,12,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,26,영파여고.강동구청역,0,36,14,23,40,23,13,16,13,17,11,20,29,19,23,16,12,13,18,13,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,27,현대아파트앞,0,11,15,26,41,24,14,18,14,18,10,21,31,23,27,16,15,10,12,9,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,28,풍납동극동.쌍용아파트,0,34,17,28,45,28,16,19,14,19,12,20,33,24,32,24,13,13,19,10,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,29,잠실파크리오아파트상가.올림픽회관,0,32,16,28,47,28,18,20,18,20,13,20,39,28,39,27,17,16,19,14,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,30,몽촌토성역.한성백제역,0,19,18,26,44,29,15,19,19,15,13,19,33,27,40,31,18,15,21,14,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,31,방이중학교,0,29,13,26,35,31,13,17,17,18,14,18,33,30,38,33,16,15,21,12,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,32,송파나루역.방이시장,0,32,20,26,34,25,15,13,19,16,15,18,25,27,28,33,14,11,19,11,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,33,송파초등학교.송파동성당,0,31,19,28,32,25,16,13,22,19,14,18,21,26,26,32,15,13,20,11,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,34,송파여성문화회관,0,31,18,29,36,27,17,12,18,21,14,18,21,25,27,33,15,15,21,19,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,35,석촌동한솔아파트앞,0,31,19,28,42,30,16,12,18,21,15,17,22,24,26,33,18,14,14,15,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,36,석촌고분역.올림픽병원,0,29,19,31,36,29,16,11,18,23,15,15,21,24,25,26,13,14,17,15,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,37,송파구민회관구의회,0,27,13,35,40,31,17,12,19,23,12,14,22,24,21,23,10,11,14,13,0,0,0,0,
340,강동공영차고지 - 강일리버파크6단지,38,삼전역,0,25,13,36,47,31,17,12,17,24,15,15,23,22,21,20,10,10,15,13,0,0,0,0,
