노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
360,복정역환승센터3번승강장 - 복정역환승주차장,1,복정역환승센터3번승강장,7,1,1,3,4,1,2,1,1,1,5,2,2,2,3,1,1,0,1,0,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,2,장지역.가든파이브,7,7,3,10,15,8,3,5,2,2,7,5,8,6,11,5,4,5,3,0,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,3,문정법조단지.건영아파트,9,8,6,23,32,15,8,6,10,9,10,7,18,18,29,4,8,7,3,0,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,4,문정로데오거리입구,10,4,8,23,35,16,9,9,10,12,12,12,23,31,52,15,9,11,6,0,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,5,가락시장.가락시장역,15,7,10,24,36,16,11,8,13,8,13,14,19,27,42,14,7,9,6,0,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,6,송파역,18,4,8,29,39,19,12,10,17,10,12,15,23,26,39,16,7,9,7,0,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,7,석촌역,21,15,9,30,41,21,20,12,18,9,10,12,21,19,36,15,7,7,8,4,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,8,석촌호수.한솔병원,20,16,12,31,44,23,22,12,19,10,6,10,16,17,33,20,5,10,7,5,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,9,잠실역.롯데월드,24,29,14,33,42,24,20,13,15,10,10,8,12,15,28,23,8,13,8,7,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,10,잠실5단지,25,13,15,35,45,24,25,15,14,9,9,9,12,13,26,22,9,13,5,7,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,11,잠실새내역.잠실2동주민센터,25,30,15,32,39,33,24,13,12,9,8,7,9,12,20,21,6,12,7,5,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,12,잠실엘스아파트앞,27,32,15,34,38,35,22,14,14,12,10,7,9,13,16,18,8,12,7,9,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,13,종합운동장사거리,21,31,17,35,38,39,22,19,17,12,10,9,11,12,16,16,9,12,8,10,0,0,0,0,
360,복정역환승센터3번승강장 - 복정역환승주차장,14,잠실종합운동장,29,35,15,34,40,43,23,20,19,9,12,10,12,13,17,13,7,9,7,0,0,0,0,0,
