노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,1,도봉산역광역환승센터,0,0,1,5,4,1,0,2,4,2,2,4,5,2,1,0,0,0,1,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,2,도봉산역,3,1,5,17,16,12,4,9,12,11,8,9,15,16,12,12,8,7,7,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,3,도봉한신아파트,8,7,6,24,23,15,5,10,11,13,14,10,16,18,11,13,10,6,7,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,4,서울북부지방법원.검찰청.도봉역성황당,9,9,5,25,25,17,6,12,13,15,19,12,19,16,16,11,11,7,8,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,5,신도봉사거리,11,12,8,28,29,23,6,13,15,18,21,14,18,17,15,9,10,6,7,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,6,신도봉시장.도봉구청.방학북부역,17,15,11,30,36,23,9,17,18,21,22,17,19,21,21,14,9,5,11,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,7,도봉소방서.방학남부역,18,17,14,40,47,25,11,19,19,21,26,26,16,21,25,15,10,4,14,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,8,도봉보건소,19,16,19,43,44,27,12,18,20,22,30,25,16,21,26,18,8,6,13,6,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,9,도봉구민회관.도봉문화원(중),21,11,24,45,47,37,9,19,17,22,19,23,17,24,22,19,6,5,11,6,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,10,쌍문역,23,15,17,34,39,35,11,20,14,21,22,20,17,19,21,15,12,4,9,0,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,11,우이1교앞,23,18,22,33,45,32,15,20,16,22,22,20,16,20,22,15,6,7,10,7,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,12,수유3동우체국,26,22,23,35,42,41,18,21,16,20,19,18,18,16,17,14,10,7,8,9,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,13,수유(강북구청)역,24,26,28,38,43,43,18,21,19,18,21,18,14,14,14,17,5,5,7,13,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,14,수유역,17,15,20,39,42,38,16,20,18,17,20,15,14,16,13,14,7,5,8,14,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,15,수유시장.성신여대미아캠퍼스앞,29,23,29,44,44,33,14,18,15,17,21,18,16,13,23,18,9,5,6,12,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,16,미아역.신일중고,32,27,28,47,45,32,17,16,16,23,18,19,18,12,23,19,9,6,9,10,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,17,도봉세무서.성북시장,33,27,30,47,45,32,20,16,15,22,17,17,19,13,13,17,5,5,4,5,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,18,미아사거리역,35,28,33,49,53,32,19,19,17,20,17,20,32,19,26,17,11,7,8,10,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,19,월곡뉴타운,35,25,21,41,54,32,19,19,18,20,17,18,29,18,17,15,13,8,3,9,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,20,길음뉴타운,39,29,27,50,61,37,20,20,17,20,17,18,20,15,21,14,10,8,9,7,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,21,미아리고개.미아리예술극장,38,28,31,55,72,42,23,23,20,22,18,26,15,15,18,12,11,7,11,5,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,22,돈암사거리.성신여대입구,35,28,27,53,73,44,23,21,18,19,20,23,22,18,15,11,13,8,9,8,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,23,삼선교.한성대학교,35,25,33,55,72,43,28,22,17,20,20,23,21,20,16,14,12,11,8,8,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,24,혜화동로터리.여운형활동터,34,26,34,54,74,45,26,20,18,19,22,19,22,18,15,17,13,12,15,4,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,25,명륜3가.성대입구,34,30,30,51,71,44,27,23,25,22,22,25,26,18,24,21,19,17,27,15,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,26,창경궁.서울대학교병원,35,29,29,50,71,45,35,25,25,20,25,30,27,21,24,22,19,14,15,7,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,27,원남동,33,27,26,51,70,46,37,24,32,21,27,33,34,28,42,26,20,20,27,16,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,28,광장시장,33,25,27,50,54,44,29,22,30,19,28,30,35,27,43,27,16,21,29,14,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,29,중구청앞.덕수중학교,30,30,25,48,52,40,23,19,31,19,28,32,33,25,38,26,16,19,29,2,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,30,충무로역8번출구.대한극장앞,28,25,26,45,50,39,30,22,30,20,30,27,36,28,34,28,23,19,30,15,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,31,퇴계로3가.한옥마을.한국의집,30,23,32,56,52,40,32,28,34,31,31,30,38,30,40,30,25,23,29,14,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,32,남산1호터널,0,22,27,50,49,39,25,26,30,27,30,28,37,27,41,0,20,20,23,19,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,33,순천향대학병원.한남오거리,0,31,22,38,47,35,22,19,28,19,16,26,25,35,40,32,15,19,18,13,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,34,신사역.푸른저축은행,0,30,20,28,42,28,19,18,26,20,15,20,22,35,39,30,9,14,12,14,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,35,논현역,0,32,19,29,37,22,17,15,20,17,11,16,17,25,29,17,8,9,13,10,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,36,지하철2호선강남역,0,23,15,25,32,14,14,10,18,12,11,13,12,14,20,12,8,10,9,8,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,37,신분당선강남역,0,14,16,20,24,11,10,8,17,9,8,6,10,16,19,14,9,7,21,6,0,0,0,0,
140,도봉산역광역환승센터 - 도봉산역광역환승센터,38,래미안아파트.파이낸셜뉴스(중),0,12,12,16,19,8,4,7,13,9,4,4,9,15,30,8,6,4,17,4,0,0,0,0,
