노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
370,강동공영차고지 - 강일리버파크6단지,1,강동공영차고지,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,2,강일리버파크6단지,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,3,강일리버파크8단지,2,0,2,3,11,1,3,2,4,3,1,0,2,2,2,1,0,0,1,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,4,강일고등학교.강일리버파크7단지,3,2,4,6,16,4,3,3,2,5,2,1,7,3,3,1,1,0,1,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,5,강일리버파크5단지.4단지,4,4,7,9,16,7,6,6,8,6,2,2,5,5,4,3,1,1,4,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,6,강일리버파크2단지.4단지,4,6,15,20,14,10,8,7,11,11,5,4,12,6,5,3,2,2,5,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,7,강일리버파크1단지.3단지,4,6,8,30,22,15,9,6,7,14,6,4,13,7,6,4,1,3,6,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,8,강일동주민센터,5,7,9,30,26,18,11,9,11,15,8,7,15,6,12,8,5,3,4,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,9,강동공영차고지,6,6,14,29,29,20,12,10,15,11,12,8,19,12,15,10,6,4,6,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,10,고덕리엔파크1단지,7,8,11,31,29,23,12,12,13,16,14,9,23,12,10,13,7,5,7,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,11,해뜨는주유소,9,10,17,31,31,12,12,12,16,17,15,10,24,12,16,14,5,6,6,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,12,고덕천교차로,8,0,21,32,35,18,11,12,16,18,15,13,25,15,20,17,8,8,8,0,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,13,고덕자이.고덕천물놀이장,11,11,24,33,36,32,15,16,17,19,17,15,26,16,24,19,9,5,8,3,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,14,고덕자이,7,11,28,33,36,35,19,17,19,20,17,18,30,34,34,21,10,9,7,4,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,15,강동첨단업무단지.상일여고입구,13,10,26,34,40,34,18,27,25,27,19,34,42,59,53,27,14,17,10,10,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,16,상일초등학교,14,12,27,33,38,42,21,28,27,26,20,32,43,67,58,31,19,23,12,12,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,17,초이동,13,11,23,31,38,39,20,24,26,16,22,35,42,61,56,34,20,20,13,13,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,18,강동자이.프라자아파트,14,12,32,46,43,37,24,24,24,30,15,35,41,59,55,39,21,17,11,4,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,19,길동주민센터.둔촌2동주민센터,15,11,37,48,54,41,29,27,26,32,23,31,38,55,55,35,26,18,14,13,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,20,길동사거리.강동세무서,16,12,34,47,54,38,24,23,19,29,22,27,35,45,48,30,25,16,14,15,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,21,강동역,17,11,33,46,48,34,22,21,19,30,19,22,32,38,41,29,20,15,13,14,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,22,천호역,24,15,33,47,51,34,29,22,25,26,19,20,32,44,49,32,29,17,13,17,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,23,광나루역,24,15,19,48,61,42,32,24,25,28,24,23,38,40,50,31,27,20,15,16,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,24,새밭교회,26,16,20,40,60,38,31,24,27,29,23,21,37,39,45,28,23,18,16,15,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,25,어린이대공원후문아차산역,29,17,16,42,60,32,32,22,28,31,25,24,33,34,37,28,21,16,16,14,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,26,중곡동입구삼거리,31,17,20,38,61,38,32,25,30,31,26,23,28,35,36,27,16,14,16,15,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,27,군자역.용마초등학교,34,17,21,39,63,37,30,26,32,31,22,22,24,32,33,23,14,14,16,13,0,0,0,0,
370,강동공영차고지 - 강일리버파크6단지,28,군자교입구,38,25,22,45,64,34,30,26,31,29,19,22,26,31,30,23,14,14,13,11,0,0,0,0,
