노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
152,수유중학교혜화여고 - 혜화여고,1,수유중학교혜화여고,5,2,3,18,7,4,2,6,2,4,3,9,18,4,3,1,1,3,0,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,2,서울정인학교,7,4,5,24,11,7,6,6,3,7,8,4,19,4,5,4,2,1,1,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,3,구세군강북종합사회복지관입구,16,6,7,22,13,9,7,7,4,8,8,7,17,5,5,5,3,2,0,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,4,미양중고등학교.팔팔·미송경로당,18,5,11,24,16,13,9,10,14,10,8,11,22,8,6,6,2,2,0,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,5,삼각산동SK아파트북한산시티미양초등학교,18,9,12,27,18,11,11,10,12,10,8,11,22,13,10,7,4,4,2,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,6,두산위브아파트입구,25,11,15,33,20,14,13,10,14,12,10,11,20,11,8,6,5,4,3,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,7,동북프라자,26,12,17,38,22,15,14,11,15,10,11,10,17,13,8,9,3,5,4,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,8,삼양동사거리,30,13,21,42,29,17,19,12,15,12,16,12,18,13,12,7,5,7,5,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,9,송천초등학교.미아뉴타운입구,33,16,23,47,35,21,24,13,18,13,14,10,22,11,14,10,3,8,3,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,10,미아초교,40,21,27,53,50,24,27,15,21,16,18,13,20,12,15,9,6,7,7,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,11,길음동동부아파트,41,20,29,54,53,27,25,17,22,16,18,6,20,11,17,9,10,6,6,0,0,0,0,0,
152,수유중학교혜화여고 - 혜화여고,12,길음뉴타운,33,18,23,47,50,26,25,15,20,16,16,15,14,16,15,11,11,7,4,0,0,0,0,0,
