노선,기종점,정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시,
143,대진여객차고지(가상) - 대진여객차고지,1,대진여객차고지(가상),2,3,4,9,13,11,6,4,4,7,6,4,4,3,6,2,3,4,0,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,2,정릉산장아파트,5,5,9,23,27,26,18,8,7,11,9,9,8,11,9,4,5,2,3,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,3,정릉4동주민센터.경국사,2,4,11,26,30,25,17,8,9,10,11,10,9,10,9,3,3,1,2,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,4,북한산보국문역2번출구,5,6,11,25,37,28,18,10,10,10,14,10,9,10,9,7,4,4,4,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,5,성북청수도서관.정릉4동성당,7,8,14,30,40,31,22,12,13,11,14,16,12,15,15,8,6,5,3,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,6,정릉시장입구,11,11,20,39,56,34,25,15,13,13,16,16,16,15,19,6,8,9,3,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,7,정릉우체국앞,18,12,23,57,65,37,24,19,13,19,17,17,18,19,26,9,7,6,3,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,8,숭덕초교,18,15,26,58,65,43,26,21,16,26,24,24,24,27,32,15,10,11,7,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,9,정릉길음시장,18,16,33,58,65,48,31,22,18,27,24,29,32,34,32,17,11,12,10,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,10,미아리고개.미아리예술극장,28,21,34,52,61,50,36,23,20,23,24,26,29,29,25,16,8,10,8,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,11,돈암사거리.성신여대입구,23,20,33,52,64,47,30,25,20,18,24,19,21,23,22,10,8,6,6,0,0,0,0,0,
143,대진여객차고지(가상) - 대진여객차고지,12,삼선교.한성대학교,26,22,33,55,64,44,34,27,22,17,23,19,24,22,19,8,8,7,7,0,0,0,0,0,
