정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,대진여객차고지(가상),3,6,2,3,여유,여유,여유,여유
2,정릉산장아파트,11,9,4,5,여유,여유,여유,여유
3,정릉4동주민센터.경국사,10,9,3,3,여유,여유,여유,여유
4,북한산보국문역2번출구,10,9,7,4,여유,여유,여유,여유
5,성북청수도서관.정릉4동성당,15,15,8,6,여유,여유,여유,여유
6,정릉시장입구,15,19,6,8,여유,여유,여유,여유
7,정릉우체국앞,19,26,9,7,여유,보통,여유,여유
8,숭덕초교,27,32,15,10,보통,보통,여유,여유
9,정릉길음시장,34,32,17,11,보통,보통,여유,여유
10,미아리고개.미아리예술극장,29,25,16,8,보통,보통,여유,여유
11,돈암사거리.성신여대입구,23,22,10,8,보통,보통,여유,여유
12,삼선교.한성대학교,22,19,8,8,보통,여유,여유,여유
13,혜화동로터리.여운형활동터,22,17,8,6,보통,여유,여유,여유
14,명륜3가.성대입구,25,20,10,12,보통,여유,여유,여유
15,창경궁.서울대학교병원,22,22,10,10,보통,보통,여유,여유
16,원남동,24,37,12,11,보통,혼잡,여유,여유
17,종로4가.종묘,23,41,15,14,보통,혼잡,여유,여유
18,종로3가.탑골공원,26,44,26,20,보통,혼잡,보통,여유
19,종로2가,32,51,34,25,보통,매우혼잡,보통,보통
20,롯데백화점,41,45,42,36,혼잡,혼잡,혼잡,혼잡
21,신세계앞,49,53,37,45,혼잡,매우혼잡,혼잡,혼잡
22,남산3호터널,40,53,48,46,혼잡,매우혼잡,혼잡,혼잡
23,용산한신아파트,32,44,38,34,보통,혼잡,혼잡,보통
24,해방촌,33,50,39,30,보통,혼잡,혼잡,보통
25,용산구청.크라운호텔,33,42,35,29,보통,혼잡,보통,보통
26,한강중학교앞,37,48,29,28,혼잡,혼잡,보통,보통
27,반포대교남단한강시민공원입구,34,41,32,22,보통,혼잡,보통,보통
28,고속터미널,33,30,31,20,보통,보통,보통,여유
29,신반포자이아파트,33,30,30,18,보통,보통,보통,여유
30,잠원성당,24,23,23,16,보통,보통,보통,여유
31,잠원한신아파트,20,21,20,12,여유,보통,여유,여유
32,신동중학교,19,19,16,10,여유,여유,여유,여유
33,신반포13차아파트,15,21,11,8,여유,보통,여유,여유
34,롯데캐슬아파트,14,26,10,6,여유,보통,여유,여유
35,신사중학교,11,17,11,8,여유,여유,여유,여유
36,광림교회.현대고등학교,12,19,12,8,여유,여유,여유,여유
37,현대아파트,15,36,17,10,여유,혼잡,여유,여유
38,압구정파출소,21,38,23,10,보통,혼잡,보통,여유
39,한양아파트.압구정로데오역,19,36,19,9,여유,혼잡,여유,여유
40,청담초등학교앞,24,36,35,11,보통,혼잡,보통,여유
41,프리마호텔,32,71,46,15,보통,매우혼잡,혼잡,여유
42,영동교입구,33,69,43,19,보통,매우혼잡,혼잡,여유
43,청담역.경기고교,27,54,43,17,보통,매우혼잡,혼잡,여유
44,봉은사.삼성1파출소앞,19,35,23,15,여유,보통,보통,여유
45,무역센터,26,22,20,13,보통,보통,여유,여유
46,삼성역,28,32,23,14,보통,보통,보통,여유
47,휘문중고등학교,27,27,18,15,보통,보통,여유,여유
48,대치동현대아파트,21,25,22,12,보통,보통,보통,여유
49,농협대치지점,15,20,13,7,여유,여유,여유,여유
50,대치SKVIEW아파트.서울교회,13,18,14,6,여유,여유,여유,여유
51,대치역7번출구.선경아파트,10,15,13,6,여유,여유,여유,여유
52,개포동역.개포시장,6,13,9,4,여유,여유,여유,여유
53,경기여고,4,8,6,2,여유,여유,여유,여유
54,래미안블레스티지아파트,8,6,4,3,여유,여유,여유,여유
55,개포도서관,12,9,2,0,여유,여유,여유,여유
56,수도전기공고후문,13,6,2,0,여유,여유,여유,여유
57,개포주공5단지경기여고,14,7,7,2,여유,여유,여유,여유
59,대치역6번출구.강남구민회관,17,22,6,2,보통,혼잡,여유,여유
60,은마아파트,25,36,8,5,보통,보통,여유,여유
61,은마파출소,32,34,18,8,혼잡,혼잡,보통,여유
62,대치현대아파트,36,44,26,7,보통,혼잡,보통,여유
65,삼성역7번출구,32,43,23,17,여유,혼잡,보통,여유
66,봉은사역3번출구.삼성1파출소,34,55,23,17,보통,보통,여유,여유
68,우리은행청담지점.청담삼익아파트,17,16,17,13,혼잡,혼잡,혼잡,보통
70,청담초등학교,18,36,21,17,혼잡,혼잡,보통,여유
80,잠원성당.아크로리버뷰아파트,24,26,18,20,보통,혼잡,보통,보통
81,뉴코아아울렛,29,25,26,23,보통,보통,보통,보통
84,한강중학교,40,40,44,22,여유,여유,여유,여유
86,국군재정관리단,37,39,35,19,여유,여유,여유,여유
87,이태원동남산대림아파트.용산동아파트,36,45,30,20,,,,
88,용암초등학교입구.이태원주공아파트,34,42,22,18,,,,
89,남산3호터널.서울애니메이션센터,32,39,26,20,,,,
90,롯데영프라자,26,39,38,21,,,,
91,우리은행종로지점,33,37,39,20,,,,
95,종로5가.광장시장,33,51,37,22,,,,
96,종로5가.효제동.김상옥의거터,24,47,39,21,,,,
97,방송통신대.이화장,25,47,37,24,,,,
98,혜화역.마로니에공원,25,46,34,23,,,,
99,혜화역.동성중고(장면총리가옥),28,47,33,25,,,,
100,삼선교.한성대학교.조소앙활동터,27,44,32,25,,,,
103,길음뉴타운,35,35,32,21,,,,
104,길음역,37,47,30,20,,,,
105,길음뉴타운10단지.라온유아파트,31,39,24,20,,,,
110,북한산보국문역1번출구,16,20,15,13,,,,
112,정릉대우아파트,9,11,5,5,,,,
113,대진여객차고지,0,0,0,0,,,,
