정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,도봉산역광역환승센터,7,16,2,7,여유,여유,여유,여유
2,도봉산역,16,14,18,11,여유,여유,여유,여유
3,도봉한신아파트,15,15,15,9,여유,여유,여유,여유
4,서울북부지방법원.검찰청.도봉역성황당,14,17,15,13,여유,여유,여유,여유
5,신도봉사거리,17,23,14,16,여유,여유,여유,여유
6,신도봉시장.도봉구청.방학북부역,25,24,15,16,여유,여유,여유,여유
7,도봉소방서.방학남부역,28,28,18,15,여유,보통,여유,여유
8,도봉보건소,26,30,16,14,보통,보통,여유,여유
9,도봉구민회관.도봉문화원(중),27,31,20,12,보통,보통,여유,여유
10,쌍문역,13,29,17,13,보통,보통,여유,여유
11,우이1교앞,15,29,15,12,보통,보통,여유,여유
12,수유3동우체국,15,28,13,13,보통,여유,여유,여유
13,수유(강북구청)역,20,18,14,11,보통,여유,여유,여유
14,수유역,19,17,13,10,보통,여유,여유,여유
15,수유시장.성신여대미아캠퍼스앞,25,18,12,11,보통,보통,여유,여유
16,미아역.신일중고,22,17,10,9,보통,혼잡,여유,여유
17,도봉세무서.성북시장,19,18,7,8,보통,혼잡,여유,여유
18,미아사거리역,16,17,12,12,보통,혼잡,보통,여유
19,월곡뉴타운,14,18,11,11,보통,매우혼잡,보통,보통
20,길음뉴타운,14,17,14,10,혼잡,혼잡,혼잡,혼잡
21,미아리고개.미아리예술극장,13,19,11,12,혼잡,매우혼잡,혼잡,혼잡
22,돈암사거리.성신여대입구,12,16,8,11,혼잡,매우혼잡,혼잡,혼잡
23,삼선교.한성대학교,13,14,7,9,보통,혼잡,혼잡,보통
24,혜화동로터리.여운형활동터,17,16,6,6,보통,혼잡,혼잡,보통
25,명륜3가.성대입구,23,16,12,10,보통,혼잡,보통,보통
26,창경궁.서울대학교병원,26,15,9,7,혼잡,혼잡,보통,보통
27,원남동,28,21,15,7,보통,혼잡,보통,보통
28,종로4가.종묘,29,21,16,10,보통,보통,보통,여유
29,종로3가.탑골공원,25,25,17,11,보통,보통,보통,여유
30,종로2가,26,23,13,10,보통,보통,보통,여유
31,종로1가,23,28,13,16,여유,보통,여유,여유
32,광화문,22,38,13,17,여유,여유,여유,여유
33,서울역사박물관.경희궁앞,33,46,19,14,여유,보통,여유,여유
34,경찰청.동북아역사재단,32,55,23,15,여유,보통,여유,여유
35,서울역버스환승센터,27,46,21,15,여유,여유,여유,여유
36,갈월동,26,42,20,14,여유,여유,여유,여유
37,숙대입구역,26,37,22,15,여유,혼잡,여유,여유
38,삼각지역,32,36,20,17,보통,혼잡,보통,여유
39,용산우체국,27,33,21,20,여유,혼잡,여유,여유
40,신용산역,30,39,26,26,보통,혼잡,보통,여유
41,한강대교북단.LG유플러스,31,49,28,28,보통,매우혼잡,혼잡,여유
42,노들섬,29,40,25,12,보통,매우혼잡,혼잡,여유
43,노들역,30,47,28,27,보통,매우혼잡,혼잡,여유
44,노량진역,28,41,31,26,여유,보통,보통,여유
45,노량진수산시장.CTS기독교TV,35,38,41,25,보통,보통,여유,여유
46,현대아파트.유한양행,36,36,36,24,보통,보통,보통,여유
47,대방역1번출구앞,43,43,48,32,보통,보통,여유,여유
48,공군호텔,39,40,42,32,보통,보통,보통,여유
49,서울지방병무청,36,42,38,28,여유,여유,여유,여유
50,보라매역.동작세무서,39,42,40,27,여유,여유,여유,여유
51,보라매공원,41,38,27,23,여유,여유,여유,여유
52,경남아너스빌아파트,34,36,17,22,여유,여유,여유,여유
53,강남성심병원.대림성모병원,41,35,15,22,여유,여유,여유,여유
54,서울영림초등학교,33,31,15,21,여유,여유,여유,여유
55,구로디지털단지역,50,58,33,32,여유,여유,여유,여유
56,문성초등학교,40,52,30,32,여유,여유,여유,여유
57,금천우체국,27,43,23,29,여유,여유,여유,여유
58,말미고개.금천소방서,22,37,31,18,여유,보통,여유,여유
59,금천구청.금천경찰서,18,22,20,14,보통,혼잡,여유,여유
60,시흥사거리.시흥대교,10,10,15,9,보통,보통,여유,여유
61,독산한신아파트,2,2,2,2,혼잡,혼잡,보통,여유
62,금하마을,3,3,5,0,보통,혼잡,보통,여유
63,시흥대교,10,17,8,3,보통,매우혼잡,보통,여유
69,동작상떼빌아파트,24,40,19,10,혼잡,혼잡,보통,여유
70,신대방경남아파트,26,40,17,11,혼잡,혼잡,보통,여유
71,신대방현대아파트,35,37,14,12,보통,혼잡,보통,여유
74,강남중학교,33,48,15,11,보통,혼잡,혼잡,여유
75,서울지방병무청앞,30,52,21,9,보통,매우혼잡,혼잡,보통
77,대방역,21,35,19,8,보통,혼잡,혼잡,보통
78,현대아파트,18,31,16,8,보통,혼잡,보통,보통
89,서울역버스환승센터.강우규의거터,19,28,17,12,,,,
90,시청앞,28,42,19,14,,,,
91,서울신문사,28,54,21,16,,,,
96,종로5가.광장시장,47,57,50,21,,,,
97,종로5가.효제초등학교,48,52,48,21,,,,
98,종로5가.효제동.김상옥의거터,45,56,39,18,,,,
99,방송통신대.이화장,44,55,47,24,,,,
100,혜화역.마로니에공원,44,53,46,23,,,,
101,혜화역.동성중고(장면총리가옥),44,53,47,26,,,,
102,삼선교.한성대학교.조소앙활동터,40,54,42,26,,,,
111,수유역.강북구청,32,39,28,25,,,,
116,도봉보건소.북한산아이파크아파트,22,31,23,18,,,,
