정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,강동공영차고지,0,0,0,0,여유,여유,여유,여유
2,강일리버파크6단지,0,0,0,0,여유,여유,여유,여유
3,강일리버파크8단지,2,2,1,0,여유,여유,여유,여유
4,강일고등학교.강일리버파크7단지,3,3,1,1,여유,여유,여유,여유
5,강일리버파크5단지.4단지,5,4,3,1,여유,여유,여유,여유
6,강일리버파크2단지.4단지,6,5,3,2,여유,여유,여유,여유
7,강일리버파크1단지.3단지,7,6,4,1,여유,보통,여유,여유
8,강일동주민센터,6,12,8,5,보통,보통,여유,여유
10,고덕리엔파크1단지,12,10,13,7,보통,보통,여유,여유
11,해뜨는주유소,12,16,14,5,보통,보통,여유,여유
12,고덕천교차로,15,20,17,8,보통,여유,여유,여유
13,고덕자이.고덕천물놀이장,16,24,19,9,보통,여유,여유,여유
14,고덕자이,34,34,21,10,보통,여유,여유,여유
15,강동첨단업무단지.상일여고입구,59,53,27,14,보통,보통,여유,여유
16,상일초등학교,67,58,31,19,보통,혼잡,여유,여유
17,초이동,61,56,34,20,보통,혼잡,여유,여유
18,강동자이.프라자아파트,59,55,39,21,보통,혼잡,보통,여유
19,길동주민센터.둔촌2동주민센터,55,55,35,26,보통,매우혼잡,보통,보통
20,길동사거리.강동세무서,45,48,30,25,혼잡,혼잡,혼잡,혼잡
21,강동역,38,41,29,20,혼잡,매우혼잡,혼잡,혼잡
22,천호역,44,49,32,29,혼잡,매우혼잡,혼잡,혼잡
23,광나루역,40,50,31,27,보통,혼잡,혼잡,보통
24,새밭교회,39,45,28,23,보통,혼잡,혼잡,보통
25,어린이대공원후문아차산역,34,37,28,21,보통,혼잡,보통,보통
26,중곡동입구삼거리,35,36,27,16,혼잡,혼잡,보통,보통
27,군자역.용마초등학교,32,33,23,14,보통,혼잡,보통,보통
28,군자교입구,31,30,23,14,보통,보통,보통,여유
29,장한평역,25,32,22,15,보통,보통,보통,여유
30,청년회의소,28,36,22,14,보통,보통,보통,여유
31,답십리역사거리,30,37,27,16,여유,보통,여유,여유
32,신답초등학교.청계한신휴플러스,30,36,28,17,여유,여유,여유,여유
33,동대문구청,31,47,26,17,여유,보통,여유,여유
34,서울시동부병원,32,51,25,17,여유,보통,여유,여유
35,신설동역.서울풍물시장,20,36,18,13,여유,여유,여유,여유
36,동묘앞,18,32,11,12,여유,여유,여유,여유
37,동대문(흥인지문),16,25,5,7,여유,혼잡,여유,여유
38,종로6가.동대문종합시장,13,19,7,9,보통,혼잡,보통,여유
39,종로5가.광장시장,12,18,9,8,여유,혼잡,여유,여유
40,종로4가.종묘,13,17,8,3,보통,혼잡,보통,여유
41,종로3가.탑골공원,12,16,5,6,보통,매우혼잡,혼잡,여유
42,종로2가,11,13,4,5,보통,매우혼잡,혼잡,여유
43,종로1가,10,11,7,6,보통,매우혼잡,혼잡,여유
44,광화문,6,9,5,3,여유,보통,보통,여유
45,서울역사박물관.경희궁앞,6,10,3,4,보통,보통,여유,여유
46,서대문경찰서,5,9,5,2,보통,보통,보통,여유
47,한국경제신문사.서소문역사공원,3,18,5,2,보통,보통,여유,여유
48,충정로역2호선,5,22,2,2,보통,보통,보통,여유
49,충정로역5호선,6,28,3,2,여유,여유,여유,여유
50,서대문역사거리,44,37,4,2,여유,여유,여유,여유
59,동대문역.흥인지문,49,68,51,34,보통,혼잡,여유,여유
60,숭인동,40,65,50,35,보통,보통,여유,여유
61,동대문우체국.서울풍물시장,44,66,52,36,혼잡,혼잡,보통,여유
62,용두동신동아아파트,44,67,49,36,보통,혼잡,보통,여유
63,용두역,43,67,49,35,보통,매우혼잡,보통,여유
67,청년회의소.서울새활용플라자,48,61,47,26,보통,보통,보통,보통
79,강동자이·프라자아파트,32,55,35,30,보통,혼잡,보통,보통
81,상일초교,36,49,38,25,보통,보통,보통,보통
83,고덕리엔파크3단지,26,34,25,16,보통,혼잡,보통,여유
84,강명초등학교,23,30,20,17,여유,여유,여유,여유
88,강일리버파크3단지,11,16,15,11,,,,
90,강일리버파크3단지.1단지,7,11,6,6,,,,
91,강일리버파크4단지.2단지,3,6,3,2,,,,
92,강일리버파크4단지.5단지,1,3,1,0,,,,
