정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,북부운수차고지(가상),3,3,7,2,여유,여유,여유,여유
2,방약국앞,7,6,12,7,여유,여유,여유,여유
3,면남초등학교,11,10,14,12,여유,여유,여유,여유
4,지하철7호선사가정역,15,15,15,11,여유,여유,여유,여유
5,면목우체국.녹색병원,17,21,18,12,여유,여유,여유,여유
6,면동초등학교,16,19,21,14,여유,여유,여유,여유
7,면목본동주민센터.면목정보도서관,17,20,26,13,여유,보통,여유,여유
8,지하철7호선면목역,21,22,29,14,보통,보통,여유,여유
9,면목초등학교,18,24,28,12,보통,보통,여유,여유
10,지하철7호선상봉역,19,26,28,10,보통,보통,여유,여유
11,상봉역.중랑우체국,21,26,29,14,보통,보통,여유,여유
12,중랑역.동부시장,18,26,24,10,보통,여유,여유,여유
13,중랑교,18,21,21,9,보통,여유,여유,여유
14,삼육서울병원,20,23,18,9,보통,여유,여유,여유
15,시조사삼거리,21,21,13,6,보통,보통,여유,여유
16,떡전교사거리.동대문노인복지관,23,16,17,10,보통,혼잡,여유,여유
17,청량리미주아파트.동대문세무서,22,20,12,9,보통,혼잡,여유,여유
18,청량리역환승센타,20,26,15,11,보통,혼잡,보통,여유
19,청량리.청과물도매시장,21,28,17,12,보통,매우혼잡,보통,보통
20,제기동역.서울약령시,25,29,22,17,혼잡,혼잡,혼잡,혼잡
21,용두동사거리.한국의류시험연구원,26,33,24,20,혼잡,매우혼잡,혼잡,혼잡
22,신설동역,29,38,27,20,혼잡,매우혼잡,혼잡,혼잡
23,신설동역1번출구,32,38,33,18,보통,혼잡,혼잡,보통
24,보문동주민센터,32,37,33,17,보통,혼잡,혼잡,보통
25,보문동성당,32,35,30,15,보통,혼잡,보통,보통
26,보문역,33,33,25,13,혼잡,혼잡,보통,보통
27,성북구청.성북경찰서,26,28,19,12,보통,혼잡,보통,보통
28,삼선동주민센터,30,21,19,13,보통,보통,보통,여유
29,삼선교.한성대학교,30,27,19,16,보통,보통,보통,여유
30,혜화동로터리.여운형활동터,23,25,19,18,보통,보통,보통,여유
31,명륜3가.성대입구,25,34,20,17,여유,보통,여유,여유
32,창경궁.서울대학교병원,32,37,21,18,여유,여유,여유,여유
33,창덕궁,36,38,23,22,여유,보통,여유,여유
34,안국역.서울공예박물관,37,46,25,28,여유,보통,여유,여유
35,덕성여중고,42,49,30,28,여유,여유,여유,여유
36,사직동주민센터,48,59,48,36,여유,여유,여유,여유
37,사직단.어린이도서관,49,60,51,39,여유,혼잡,여유,여유
38,이대부고,46,57,47,37,보통,혼잡,보통,여유
39,이대부중,44,56,44,34,여유,혼잡,여유,여유
40,세브란스병원앞,41,50,41,31,보통,혼잡,보통,여유
41,연세대앞,41,48,38,29,보통,매우혼잡,혼잡,여유
42,서대문우체국,38,44,36,24,보통,매우혼잡,혼잡,여유
43,연희104고지앞.구성산회관,34,45,33,24,보통,매우혼잡,혼잡,여유
44,사천교,24,40,35,25,여유,보통,보통,여유
45,서대문종합사회복지관,22,36,29,25,보통,보통,여유,여유
46,연가교,21,30,24,22,보통,보통,보통,여유
47,남가좌현대아파트,18,22,18,13,보통,보통,여유,여유
48,명지대사거리,13,12,9,8,보통,보통,보통,여유
49,명지대사거리.우리은행,21,16,7,8,여유,여유,여유,여유
50,백련시장,18,19,10,7,여유,여유,여유,여유
51,홍남교백련시장입구,21,8,11,8,여유,여유,여유,여유
59,이대후문,50,51,28,20,보통,혼잡,여유,여유
61,사직단,48,59,32,21,혼잡,혼잡,보통,여유
62,서울경찰청.경복궁역,45,45,33,21,보통,혼잡,보통,여유
63,경복궁,46,48,29,22,보통,매우혼잡,보통,여유
64,안국역.인사동,45,52,32,23,여유,여유,여유,여유
65,창덕궁.우리소리박물관,53,58,40,27,여유,혼잡,보통,여유
67,명륜동2가.성균관대입구,51,50,41,29,보통,보통,보통,보통
68,삼선교.한성대학교.조소앙활동터,49,33,38,21,혼잡,혼잡,혼잡,보통
69,돈암초교입구,48,35,39,20,혼잡,혼잡,보통,여유
76,용두동사거리,42,42,30,22,보통,혼잡,혼잡,보통
78,청량리수산시장,34,43,36,20,보통,혼잡,보통,보통
79,청량리역환승센터,38,46,40,21,보통,혼잡,보통,보통
80,서울성심병원,39,44,40,22,보통,혼잡,보통,보통
81,휘경동입구,35,41,40,22,보통,보통,보통,보통
85,한샘교회,39,38,40,19,여유,여유,여유,여유
93,면목시장,9,8,7,4,,,,
96,중곡초등학교(가상),0,0,0,0,,,,
