정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,복정역환승센터3번승강장,2,3,1,1,여유,여유,여유,여유
2,장지역.가든파이브,6,11,5,4,여유,여유,여유,여유
3,문정법조단지.건영아파트,18,29,4,8,여유,여유,여유,여유
4,문정로데오거리입구,31,52,15,9,여유,여유,여유,여유
5,가락시장.가락시장역,27,42,14,7,여유,여유,여유,여유
6,송파역,26,39,16,7,여유,여유,여유,여유
7,석촌역,19,36,15,7,여유,보통,여유,여유
8,석촌호수.한솔병원,17,33,20,5,보통,보통,여유,여유
9,잠실역.롯데월드,15,28,23,8,보통,보통,여유,여유
10,잠실5단지,13,26,22,9,보통,보통,여유,여유
11,잠실새내역.잠실2동주민센터,12,20,21,6,보통,보통,여유,여유
12,잠실엘스아파트앞,13,16,18,8,보통,여유,여유,여유
13,종합운동장사거리,12,16,16,9,보통,여유,여유,여유
14,잠실종합운동장,13,17,13,7,보통,여유,여유,여유
15,강남경찰서면허시험장,13,18,16,11,보통,보통,여유,여유
16,한국무역센터.삼성역,17,31,19,17,보통,혼잡,여유,여유
17,포스코건너편,40,51,30,21,보통,혼잡,여유,여유
18,선릉역,34,44,28,23,보통,혼잡,보통,여유
19,서울상록회관.한국기술센터,44,53,34,25,보통,매우혼잡,보통,보통
20,아가방빌딩.하나은행,51,55,53,25,혼잡,혼잡,혼잡,혼잡
21,역삼역,54,57,52,33,혼잡,매우혼잡,혼잡,혼잡
22,강남역12번출구,52,52,49,33,혼잡,매우혼잡,혼잡,혼잡
23,지하철2호선강남역,33,33,42,28,보통,혼잡,혼잡,보통
24,논현역,28,32,41,23,보통,혼잡,혼잡,보통
25,논현사거리.논현역5번출구,24,28,33,20,보통,혼잡,보통,보통
26,반포역,20,25,28,18,혼잡,혼잡,보통,보통
27,고속터미널,24,33,28,22,보통,혼잡,보통,보통
28,신반포역.세화여중고,24,36,27,23,보통,보통,보통,여유
29,구반포역.세화고등학교,25,36,28,25,보통,보통,보통,여유
30,동작역.국립현충원,26,38,23,24,보통,보통,보통,여유
31,흑석동한강현대아파트,22,33,23,27,여유,보통,여유,여유
32,비계,22,30,25,26,여유,여유,여유,여유
33,흑석역.명수대현대아파트,23,28,15,23,여유,보통,여유,여유
34,흑석동효사정앞,21,26,24,21,여유,보통,여유,여유
35,노들역,17,25,17,16,여유,여유,여유,여유
36,노량진역,15,21,13,13,여유,여유,여유,여유
37,노량진수산시장.CTS기독교TV,15,27,27,12,여유,혼잡,여유,여유
38,현대아파트.유한양행,14,20,26,12,보통,혼잡,보통,여유
39,대방역,12,16,18,8,여유,혼잡,여유,여유
40,신길새마을금고,10,15,9,6,보통,혼잡,보통,여유
41,신길역1호선,18,8,5,8,보통,매우혼잡,혼잡,여유
42,전경련회관,8,12,4,5,보통,매우혼잡,혼잡,여유
43,여의도환승센터,5,7,2,1,보통,매우혼잡,혼잡,여유
44,파크원타워.LG트윈타워,11,19,7,4,여유,보통,보통,여유
45,여의나루역,10,15,3,2,보통,보통,여유,여유
46,여의도공작아파트,7,21,6,5,보통,보통,보통,여유
47,더현대서울,28,40,8,18,보통,보통,여유,여유
49,여의도공원,35,59,14,29,여유,여유,여유,여유
50,신길역5호선,31,48,15,25,여유,여유,여유,여유
54,현대아파트,23,21,9,11,여유,여유,여유,여유
58,동작실버센터입구,17,24,12,10,여유,보통,여유,여유
68,논현사거리.논현역4번출구,24,33,13,14,혼잡,혼잡,혼잡,보통
71,강남역.역삼세무서,26,36,30,17,보통,혼잡,보통,여유
72,역삼역.포스코타워역삼,23,32,31,17,보통,혼잡,보통,여유
73,한서병원,18,26,28,19,보통,혼잡,혼잡,보통
74,한국자산신탁.센터필드,17,24,28,20,보통,혼잡,혼잡,여유
76,포스코빌딩,22,26,26,20,보통,혼잡,혼잡,보통
77,무역센터.삼성역,35,38,28,25,보통,혼잡,혼잡,보통
78,강남경찰서.강남운전면허시험장,35,46,27,25,보통,혼잡,보통,보통
81,잠실새내역4번출구,28,37,30,27,보통,보통,보통,보통
82,잠실트리지움아파트앞,27,34,27,26,혼잡,혼잡,보통,여유
91,복정역환승주차장,0,0,0,0,,,,
