정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,도봉산역광역환승센터,2,9,9,4,여유,여유,여유,여유
2,도봉산역,10,19,15,7,여유,여유,여유,여유
3,도봉한신아파트,12,17,13,7,여유,여유,여유,여유
4,서울북부지방법원.검찰청.도봉역성황당,17,17,12,6,여유,여유,여유,여유
5,신도봉사거리,18,18,10,5,여유,여유,여유,여유
6,신도봉시장.도봉구청.방학북부역,18,19,14,8,여유,여유,여유,여유
7,도봉소방서.방학남부역,19,22,17,13,여유,보통,여유,여유
8,도봉보건소,20,26,15,12,보통,보통,여유,여유
9,도봉구민회관.도봉문화원(중),19,27,14,10,보통,보통,여유,여유
10,쌍문역,17,20,16,11,보통,보통,여유,여유
11,우이1교앞,22,23,21,13,보통,보통,여유,여유
12,수유3동우체국,22,23,16,8,보통,여유,여유,여유
13,수유(강북구청)역,17,20,19,7,보통,여유,여유,여유
14,수유역,19,18,22,8,보통,여유,여유,여유
15,수유시장.성신여대미아캠퍼스앞,20,25,24,8,보통,보통,여유,여유
16,미아역.신일중고,24,23,21,8,보통,혼잡,여유,여유
17,도봉세무서.성북시장,23,28,19,10,보통,혼잡,여유,여유
18,미아사거리역,22,22,18,10,보통,혼잡,보통,여유
19,월곡뉴타운,21,21,19,11,보통,매우혼잡,보통,보통
20,길음뉴타운,21,19,19,10,혼잡,혼잡,혼잡,혼잡
21,미아리고개.미아리예술극장,19,17,16,13,혼잡,매우혼잡,혼잡,혼잡
22,돈암사거리.성신여대입구,21,21,14,13,혼잡,매우혼잡,혼잡,혼잡
23,삼선교.한성대학교,24,25,13,11,보통,혼잡,혼잡,보통
24,혜화동로터리.여운형활동터,28,22,11,7,보통,혼잡,혼잡,보통
25,명륜3가.성대입구,31,26,13,10,보통,혼잡,보통,보통
26,창경궁.서울대학교병원,33,29,15,11,혼잡,혼잡,보통,보통
27,원남동,33,47,18,14,보통,혼잡,보통,보통
28,종로4가.종묘,33,43,19,14,보통,보통,보통,여유
29,종로3가.탑골공원,32,39,16,13,보통,보통,보통,여유
30,종로2가,34,38,18,16,보통,보통,보통,여유
31,종로1가,35,48,22,20,여유,보통,여유,여유
32,광화문,42,49,21,24,여유,여유,여유,여유
33,서울역사박물관.경희궁앞,50,56,44,26,여유,보통,여유,여유
34,서대문역사거리,53,62,46,28,여유,보통,여유,여유
35,충정로역,51,62,46,28,여유,여유,여유,여유
36,아현초등학교,51,60,42,31,여유,여유,여유,여유
37,마포경찰서,50,61,37,35,여유,혼잡,여유,여유
38,아현동주민센터,54,56,36,37,보통,혼잡,보통,여유
39,공덕역,56,66,33,30,여유,혼잡,여유,여유
40,마포역,57,64,35,36,보통,혼잡,보통,여유
41,여의도환승센터,63,62,39,37,보통,매우혼잡,혼잡,여유
42,여의도공원,62,61,38,37,보통,매우혼잡,혼잡,여유
43,영등포역,36,39,31,31,보통,매우혼잡,혼잡,여유
44,남부지방법원등기국.구로세무서(에이스하이테크시티),36,53,32,28,여유,보통,보통,여유
45,문래동남성아파트,38,45,30,25,보통,보통,여유,여유
46,신도림역,37,50,39,29,보통,보통,보통,여유
47,신도림동.구로역,35,46,43,25,보통,보통,여유,여유
48,구일역.중앙유통상가,37,44,42,21,보통,보통,보통,여유
49,동양미래대학.구로성심병원,34,45,30,19,여유,여유,여유,여유
50,개봉역.영화아파트,30,43,26,18,여유,여유,여유,여유
51,경인중학교.개봉사거리,29,44,24,15,여유,여유,여유,여유
52,오류1동주민센터.오류문화센터,20,30,18,14,여유,여유,여유,여유
53,오류동역,23,26,21,11,여유,여유,여유,여유
54,오류지구대.신오류주유소,22,25,17,11,여유,여유,여유,여유
55,연세중앙교회,12,24,11,8,여유,여유,여유,여유
56,궁동청소년문화의집,11,23,6,6,여유,여유,여유,여유
57,우신고등학교,11,14,4,6,여유,여유,여유,여유
58,온수역,5,3,3,3,여유,보통,여유,여유
59,온수동종점,4,7,3,3,보통,혼잡,여유,여유
62,궁동청소년문화의집.구로검사소,14,18,17,7,보통,혼잡,보통,여유
64,씨티월드,16,21,10,8,여유,여유,여유,여유
68,개봉역.한마을아파트,20,20,9,13,혼잡,혼잡,혼잡,보통
70,구일역.제일제당,47,29,10,9,혼잡,혼잡,보통,여유
76,전경련회관,39,53,25,20,보통,혼잡,혼잡,보통
78,파크원타워.LG트윈타워,62,68,49,36,보통,혼잡,보통,보통
92,종로5가.광장시장,48,60,41,39,,,,
93,종로5가.효제초등학교,43,58,46,36,,,,
94,종로5가.효제동.김상옥의거터,46,56,45,31,,,,
95,방송통신대.이화장,45,63,42,35,,,,
96,혜화역.마로니에공원,45,51,43,31,,,,
97,혜화역.동성중고(장면총리가옥),37,50,45,29,,,,
98,삼선교.한성대학교.조소앙활동터,39,50,44,27,,,,
107,수유역.강북구청,32,37,26,20,,,,
112,도봉보건소.북한산아이파크아파트,18,31,30,21,,,,
