정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
61,신우초등학교,22,37,0,9,혼잡,혼잡,보통,여유
62,삼성산성지,20,34,32,14,보통,혼잡,보통,여유
63,산장아파트,20,33,30,18,보통,매우혼잡,보통,여유
64,삼성산주공아파트,20,39,27,12,여유,여유,여유,여유
65,산복터널.관악산휴먼시아2단지,14,31,19,11,여유,혼잡,보통,여유
66,벽산아파트1단지.호압사입구,10,14,9,8,보통,보통,여유,여유
67,벽산아파트5단지,6,8,4,5,보통,보통,보통,보통
68,경인교육대학교,11,19,14,5,혼잡,혼잡,혼잡,보통
77,미림고개.고시촌입구,20,22,11,20,보통,혼잡,혼잡,보통
78,관악농협신림지점앞,23,22,13,19,보통,혼잡,보통,보통
79,영광메디컬센터,22,23,14,22,보통,혼잡,보통,보통
80,쑥고개입구,24,29,16,19,보통,혼잡,보통,보통
82,신림역2번출구,18,21,12,13,혼잡,혼잡,보통,여유
84,보라매공원.보라매병원,26,31,26,17,여유,여유,여유,여유
85,보라매삼성아파트.모자원고개,30,27,24,16,여유,여유,여유,여유
89,청화병원,33,40,14,18,,,,
91,노량진역3번출구,25,30,12,17,,,,
100,서울역버스환승센터.강우규의거터,11,26,10,11,,,,
101,남대문시장앞.이회영활동터,16,26,13,9,,,,
102,롯데영프라자,17,27,16,13,,,,
103,을지로입구.로얄호텔,17,39,20,15,,,,
104,을지로2가.파인에빈뉴,17,43,29,19,,,,
106,을지로4가.베스트웨스턴국도,22,52,34,25,,,,
107,을지로5가.중부시장,21,54,28,22,,,,
108,을지로6가.국립중앙의료원,22,55,38,23,,,,
109,동대문역사문화공원,30,67,67,28,,,,
110,동대문역.흥인지문,24,66,67,26,,,,
112,신설동역1번출구,26,42,62,27,,,,
120,돈암동삼성아파트입구,32,38,52,31,,,,
125,동북시장,19,19,29,21,,,,
127,삼양동벽산라이브파크미양초등학교,14,24,27,18,,,,
130,우광타운,3,3,5,5,,,,
131,혜화여고,0,0,0,0,,,,
