정류장순번,정류소명,17시,18시,19시,20시,17시 혼잡도,18시_혼잡도,19시_혼잡도,20시_혼잡도
1,수유중학교혜화여고,4,3,1,1,여유,여유,여유,여유
2,서울정인학교,4,5,4,2,여유,여유,여유,여유
3,구세군강북종합사회복지관입구,5,5,5,3,여유,여유,여유,여유
4,미양중고등학교.팔팔·미송경로당,8,6,6,2,여유,여유,여유,여유
5,삼각산동SK아파트북한산시티미양초등학교,13,10,7,4,여유,여유,여유,여유
6,두산위브아파트입구,11,8,6,5,여유,여유,여유,여유
7,동북프라자,13,8,9,3,여유,보통,여유,여유
8,삼양동사거리,13,12,7,5,보통,보통,여유,여유
9,송천초등학교.미아뉴타운입구,11,14,10,3,보통,보통,여유,여유
10,미아초교,12,15,9,6,보통,보통,여유,여유
11,길음동동부아파트,11,17,9,10,보통,보통,여유,여유
12,길음뉴타운,16,15,11,11,보통,여유,여유,여유
13,미아리고개.미아리예술극장,13,14,11,10,보통,여유,여유,여유
14,돈암사거리.성신여대입구,15,15,7,9,보통,여유,여유,여유
15,삼선동주민센터,16,14,7,9,보통,보통,여유,여유
16,성북구청.성북경찰서,16,16,8,9,보통,혼잡,여유,여유
17,보문역,17,12,10,11,보통,혼잡,여유,여유
18,보문동성당,19,14,10,11,보통,혼잡,보통,여유
19,보문동주민센터,17,17,15,13,보통,매우혼잡,보통,보통
20,신설동로터리,12,17,14,12,혼잡,혼잡,혼잡,혼잡
21,동묘앞,11,22,11,10,혼잡,매우혼잡,혼잡,혼잡
22,동대문(흥인지문),11,20,5,9,혼잡,매우혼잡,혼잡,혼잡
23,종로6가.동대문종합시장,14,22,8,9,보통,혼잡,혼잡,보통
24,방산종합시장,12,23,7,9,보통,혼잡,혼잡,보통
25,을지로5가,18,24,23,10,보통,혼잡,보통,보통
26,을지로4가,17,20,20,11,혼잡,혼잡,보통,보통
27,을지로3가,16,23,13,9,보통,혼잡,보통,보통
28,을지로2가.기업은행본점.서울노동청,22,36,14,14,보통,보통,보통,여유
29,롯데백화점,22,38,18,21,보통,보통,보통,여유
30,북창동.남대문시장,21,40,20,24,보통,보통,보통,여유
31,숭례문(가상),20,32,18,21,여유,보통,여유,여유
32,숭례문,23,40,20,24,여유,여유,여유,여유
33,서울역버스환승센터,21,43,21,22,여유,보통,여유,여유
34,갈월동,20,44,23,22,여유,보통,여유,여유
35,숙대입구역,22,42,26,25,여유,여유,여유,여유
36,삼각지역,26,46,29,25,여유,여유,여유,여유
37,용산우체국,26,38,29,22,여유,혼잡,여유,여유
38,신용산역,31,41,39,26,보통,혼잡,보통,여유
39,한강대교북단.LG유플러스,34,44,41,24,여유,혼잡,여유,여유
40,노들섬,31,40,33,0,보통,혼잡,보통,여유
41,노들역,29,42,40,24,보통,매우혼잡,혼잡,여유
42,사육신공원,26,34,39,22,보통,매우혼잡,혼잡,여유
43,노량진역2번출구,38,65,48,28,보통,매우혼잡,혼잡,여유
44,동작구청.노량진초등학교앞,35,66,49,27,여유,보통,보통,여유
45,장성교회,32,64,47,29,보통,보통,여유,여유
46,장승배기역,31,61,44,24,보통,보통,보통,여유
47,상도초등학교입구,37,55,39,22,보통,보통,여유,여유
48,성대시장,29,39,32,20,보통,보통,보통,여유
49,신대방삼거리,27,37,32,25,여유,여유,여유,여유
50,보라매병원입구,27,33,28,23,여유,여유,여유,여유
51,롯데백화점관악점,27,30,26,18,여유,여유,여유,여유
52,패션문화의거리입구,23,35,29,22,여유,여유,여유,여유
53,신림사거리,46,54,43,30,여유,여유,여유,여유
54,서원동승리교앞,45,56,42,30,여유,여유,여유,여유
55,서원동문화교앞,38,50,42,28,여유,여유,여유,여유
56,서림동주민센터.신화단지,34,45,40,23,여유,여유,여유,여유
57,삼성동시장,28,43,39,26,여유,여유,여유,여유
58,삼성동주민센터,27,45,36,27,여유,보통,여유,여유
59,미림고개,23,40,35,24,보통,혼잡,여유,여유
60,미림여고.미림여자정보과학고,22,36,33,22,보통,보통,여유,여유
