버스정류장ARS번호,역명,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,정류소,퇴근시간대승차총승객수,퇴근시간대하차총승객수
18240,가산디지털단지역1호선,15990,1426,19547,1508,21469,1545,가산디지털단지역1호선(18240),57006,4479
18598,시흥모터스,876,337,1043,493,373,428,시흥모터스(18598),2292,1258
18657,남부여성발전센터앞,625,9072,582,10295,617,12174,남부여성발전센터앞(18657),1824,31541
18658,남부여성발전센터앞,2649,1162,2118,1059,1432,838,남부여성발전센터앞(18658),6199,3059
18699,금천패션아울렛사거리.마리오,5360,1963,6094,2491,7084,1736,금천패션아울렛사거리.마리오(18699),18538,6190
18708,범일운수종점,46,22091,108,32012,105,36052,범일운수종점(18708),259,90155
18740,한울중학교,2932,181,2658,137,1668,116,한울중학교(18740),7258,434
18741,한울중학교,22,6576,28,9131,42,11982,한울중학교(18741),92,27689
18776,석수역,46092,58237,62732,83844,49603,62655,석수역(18776),158427,204736
18777,석수역,78546,26398,103601,31128,75136,23579,석수역(18777),257283,81105
18994,남문시장입구.청춘삘딩,1129,2763,1707,4685,1771,3534,남문시장입구.청춘삘딩(18994),4607,10982
