버스정류장ARS번호,longitude,latitude,역명,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,정류소,퇴근시간대승차총승객수,퇴근시간대하차총승객수
18001,126.8986660928,37.475363705,문성초등학교,39017,37362,46484,45903,26995,25860,문성초등학교(18001),112496,109125
18002,126.89833,37.474034,문성초등학교,50940,112393,58844,128448,41790,102818,문성초등학교(18002),151574,343659
18003,126.8980832235,37.4691356565,금천우체국,152947,62516,208066,66689,137305,47193,금천우체국(18003),498318,176398
18004,126.898003,37.470136,금천우체국,84479,107696,105706,144274,85084,123175,금천우체국(18004),275269,375145
18005,126.897763,37.464175,말미고개,38576,33767,42061,35956,27406,23906,말미고개(18005),108043,93629
18006,126.897285,37.46473,말미고개,24847,77242,28357,116023,22221,105095,말미고개(18006),75425,298360
18007,126.8988721519,37.4592088301,금천구청.금천경찰서,67703,27741,76035,32212,43497,22257,금천구청.금천경찰서(18007),187235,82210
18008,126.899097,37.457727,금천구청.금천경찰서,25458,100077,32435,141586,26518,121380,금천구청.금천경찰서(18008),84411,363043
18009,126.9014119022,37.4525166369,시흥사거리,86287,39739,94859,42294,62506,30840,시흥사거리(18009),243652,112873
18010,126.9010982769,37.4529209731,시흥사거리,52843,92723,64288,123925,50644,111653,시흥사거리(18010),167775,328301
18011,126.9032727409,37.4478432162,박미삼거리.국립전통예술중고,37147,39010,36633,48328,23973,39916,박미삼거리.국립전통예술중고(18011),97753,127254
18012,126.902663,37.449067,박미삼거리.국립전통예술중고,25434,32363,29674,46076,22081,44947,박미삼거리.국립전통예술중고(18012),77189,123386
18013,126.9034542842,37.4402569123,시흥유통센터,39956,21976,44682,32529,23631,27656,시흥유통센터(18013),108269,82161
18014,126.903133,37.440823,시흥유통센터,35354,54270,41053,68429,19535,58576,시흥유통센터(18014),95942,181275
18101,126.8762259351,37.4854590227,한일유엔아이아파트,2305,11,3124,10,1670,7,한일유엔아이아파트(18101),7099,28
18102,126.8765799852,37.4850665262,디지털3단지.롯데정보통신,9457,976,25053,1037,10795,765,디지털3단지.롯데정보통신(18102),45305,2778
18103,126.8793920331,37.4855455489,에이스하이엔드타워5차,14977,2177,23018,3263,11324,3952,에이스하이엔드타워5차(18103),49319,9392
18104,126.8789486902,37.4831487229,디지털3단지.영창실업,4353,6601,7637,7119,4016,4846,디지털3단지.영창실업(18104),16006,18566
18105,126.8778930341,37.4821627292,디지털3단지운동장,6569,539,13089,367,5356,274,디지털3단지운동장(18105),25014,1180
18106,126.8810811558,37.4811017759,가산디지털단지역,8127,21085,13482,27386,14953,14997,가산디지털단지역(18106),36562,63468
18107,126.8814807737,37.4808039116,가산디지털단지역,43240,12968,56328,20235,63302,11358,가산디지털단지역(18107),162870,44561
18108,126.8793082021,37.4789742711,디지털3단지.월드벤처센터,9653,962,17310,857,10452,825,디지털3단지.월드벤처센터(18108),37415,2644
18109,126.8799733832,37.479474161,디지털3단지.(주)로옴코리아,20414,3727,29202,5383,18237,3072,디지털3단지.(주)로옴코리아(18109),67853,12182
18110,126.880577117,37.4766714335,디지털3단지사거리,8767,1399,17147,1344,10733,1366,디지털3단지사거리(18110),36647,4109
18111,126.880449538,37.4758449905,디지털3단지사거리,29605,7534,67217,8396,26786,8699,디지털3단지사거리(18111),123608,24629
18112,126.8813405986,37.4757765035,디지털3단지사거리,81721,11247,137675,12800,78564,9229,디지털3단지사거리(18112),297960,33276
18113,126.8884881545,37.478333594,금천패션아울렛사거리.마리오,38863,39220,50008,37451,43258,30000,금천패션아울렛사거리.마리오(18113),132129,106671
