노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
143,100000123,271,386,334,523,217,399,184,262,종로구,1006,1570,2022,12,방송통신대.이화장,127.002437,37.578043
143,100000124,437,666,459,845,316,562,360,386,종로구,1572,2459,2022,12,혜화역.마로니에공원,127.0022769,37.58111949
143,100000133,653,424,700,536,593,419,605,388,종로구,2551,1767,2022,12,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977
143,100000392,624,309,893,261,389,211,264,155,종로구,2170,936,2022,12,종로4가.종묘,126.9947219,37.570507
143,107000004,387,516,484,774,382,542,345,560,성북구,1598,2392,2022,12,길음뉴타운,127.0236855,37.60318209
143,107000005,523,1121,412,1022,204,591,173,473,성북구,1312,3207,2022,12,미아리고개.미아리예술극장,127.0217091,37.5988113
143,107000007,561,1529,473,1370,365,921,298,635,성북구,1697,4455,2022,12,돈암사거리.성신여대입구,127.0181314,37.59374328
143,107000009,450,548,412,515,262,312,176,232,성북구,1300,1607,2022,12,삼선교.한성대학교,127.0092322,37.58985251
143,107000010,730,918,919,1218,655,896,598,838,성북구,2902,3870,2022,12,삼선교.한성대학교.조소앙활동터,127.0083738,37.58931282
143,100000388,892,954,1166,1209,818,797,982,632,종로구,3858,3592,2022,12,종로2가,126.9855427,37.57013868
143,101000040,586,604,1255,825,633,408,595,321,중구,3069,2158,2022,12,우리은행종로지점,126.9829289,37.567519
143,101000041,2745,3221,3542,3137,2885,1787,3233,1238,중구,12405,9383,2022,12,롯데백화점,126.9820649,37.5644918
143,101000043,1512,1395,2085,1304,1571,962,1643,724,중구,6811,4385,2022,12,롯데영프라자,126.982008,37.562885
143,101000045,1690,1136,2301,1338,1967,948,1674,583,중구,7632,4005,2022,12,신세계앞,126.9815256,37.56084925
143,101000048,521,664,758,858,524,718,383,568,중구,2186,2808,2022,12,남산3호터널,126.9826695,37.55845577
143,101000049,618,1256,720,1187,479,902,301,693,중구,2118,4038,2022,12,남산3호터널.서울애니메이션센터,126.9826359,37.55952609
143,102000054,477,739,556,1104,311,814,255,566,용산구,1599,3223,2022,12,용암초등학교입구.이태원주공아파트,126.9885472,37.54416519
143,102000055,763,621,819,910,637,717,496,551,용산구,2715,2799,2022,12,이태원동남산대림아파트.용산동아파트,126.9874493,37.53972531
143,102000056,433,1481,345,2217,296,1706,187,1408,용산구,1261,6812,2022,12,용산한신아파트,126.9871086,37.53980547
143,102000057,803,377,698,580,433,412,429,294,용산구,2363,1663,2022,12,해방촌,126.9864583,37.53770765
143,102000058,509,1135,428,1322,290,1137,293,883,용산구,1520,4477,2022,12,국군재정관리단,126.987057,37.53714183
