노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
370,104000001,519,569,587,783,325,488,204,285,광진구,1635,2125,2022,12,군자교입구,127.0756461,37.55874099
370,104000003,544,833,664,1132,453,714,246,468,광진구,1907,3147,2022,12,군자역4번출구.용마초등학교,127.0824731,37.55609891
370,104000004,829,874,950,786,757,711,674,605,광진구,3210,2976,2022,12,군자역5번출구.용마초등학교,127.0815655,37.55622299
370,104000005,386,595,482,774,311,516,184,293,광진구,1363,2178,2022,12,중곡동입구삼거리,127.0865505,37.55449655
370,104000006,590,914,606,1374,451,859,342,640,광진구,1989,3787,2022,12,어린이대공원후문아차산역,127.0901492,37.55120847
370,104000295,327,586,388,600,221,454,219,376,광진구,1155,2016,2022,12,새밭교회,127.0926145,37.54895793
370,104000297,688,1079,739,1087,591,782,402,710,광진구,2420,3658,2022,12,광나루역,127.1032684,37.54517675
370,105000001,849,533,958,694,528,476,334,260,동대문구,2669,1963,2022,12,답십리역사거리,127.0550605,37.56518709
370,105000002,518,458,688,609,432,459,183,261,동대문구,1821,1787,2022,12,청년회의소,127.0612838,37.56196532
370,105000003,761,613,990,835,575,609,235,402,동대문구,2561,2459,2022,12,장한평역,127.067287,37.56115106
370,105000004,173,532,114,572,71,493,55,299,동대문구,413,1896,2022,12,신답초등학교.청계한신휴플러스,127.044292,37.571753
370,100000390,963,210,974,231,876,121,892,95,종로구,3705,657,2022,12,종로3가.탑골공원,126.9895647,37.57024498
370,100000392,421,164,471,238,433,114,265,64,종로구,1590,580,2022,12,종로4가.종묘,126.9947219,37.570507
370,100000394,1278,514,1053,524,963,245,771,129,종로구,4065,1412,2022,12,종로5가.광장시장,126.9988498,37.57075679
370,100000388,838,287,1014,384,930,175,984,109,종로구,3766,955,2022,12,종로2가,126.9855427,37.57013868
370,100000386,1087,309,1325,452,1048,139,951,126,종로구,4411,1026,2022,12,종로1가,126.9809105,37.57011848
370,100000367,225,996,190,974,114,734,86,585,종로구,615,3289,2022,12,동묘앞,127.019672,37.57424345
370,100000397,366,608,308,554,151,240,97,175,종로구,922,1577,2022,12,종로6가.동대문종합시장,127.0057137,37.57112723
370,100000398,1181,632,915,745,1111,533,958,424,종로구,4165,2334,2022,12,동대문역.흥인지문,127.0134512,37.57230232
370,100000379,123,230,263,245,61,148,29,73,종로구,476,696,2022,12,서울역사박물관.경희궁앞,126.970609,37.569412
