노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
140,108000002,419,549,387,587,320,511,234,443,강북구,1360,2090,2022,12,수유3동우체국,127.0286651,37.64067419
140,108000003,278,245,292,259,156,140,136,96,강북구,862,740,2022,12,수유역,127.0241165,37.63665909
140,108000004,1279,1512,1568,1591,1058,1252,897,1123,강북구,4802,5478,2022,12,수유역.강북구청,127.0252318,37.63748875
140,108000005,582,340,459,311,342,201,204,95,강북구,1587,947,2022,12,수유시장.성신여대미아캠퍼스앞,127.024172,37.63122621
140,108000012,795,1202,871,1325,704,1101,624,917,강북구,2994,4545,2022,12,미아사거리역,127.0302131,37.61289431
140,108000378,545,686,563,936,390,593,288,385,강북구,1786,2600,2022,12,수유(강북구청)역,127.0261001,37.63847705
140,109000011,344,264,425,354,249,240,202,149,도봉구,1220,1007,2022,12,도봉보건소,127.0407624,37.65893642
140,109000012,325,716,373,918,198,765,183,558,도봉구,1079,2957,2022,12,도봉보건소.북한산아이파크아파트,127.040517,37.658205
140,109000013,326,320,376,385,196,187,183,143,도봉구,1081,1035,2022,12,도봉구민회관.도봉문화원,127.0381737,37.65455985
140,109000015,355,601,370,793,292,442,230,323,도봉구,1247,2159,2022,12,쌍문역,127.0347687,37.64881742
140,109000017,316,147,253,210,204,142,139,101,도봉구,912,600,2022,12,우이1교앞,127.0326524,37.645293
140,100000108,78,233,100,314,51,240,38,187,종로구,267,974,2022,12,종로5가.효제동.김상옥의거터,127.00223,37.5745
140,100000109,233,347,267,393,113,366,161,248,종로구,774,1354,2022,12,종로5가.효제초등학교,127.0021442,37.57287901
140,100000123,144,915,158,795,87,591,119,340,종로구,508,2641,2022,12,방송통신대.이화장,127.002437,37.578043
140,100000124,363,1352,279,1610,198,1203,266,557,종로구,1106,4722,2022,12,혜화역.마로니에공원,127.0022769,37.58111949
140,100000133,505,715,477,671,320,553,457,393,종로구,1759,2332,2022,12,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977
140,100000151,776,570,735,672,632,293,473,166,종로구,2616,1701,2022,12,광장시장,126.9977438,37.56949631
140,100000390,699,1362,1037,1143,669,952,816,552,종로구,3221,4009,2022,12,종로3가.탑골공원,126.9895647,37.57024498
140,100000392,405,364,466,292,222,201,169,103,종로구,1262,960,2022,12,종로4가.종묘,126.9947219,37.570507
140,100000394,493,967,560,824,393,573,290,367,종로구,1736,2731,2022,12,종로5가.광장시장,126.9988498,37.57075679
140,101000052,669,151,792,165,493,102,448,75,중구,2402,493,2022,12,퇴계로3가.한옥마을.한국의집,126.9917772,37.56125082
140,101000055,405,376,394,467,355,206,282,134,중구,1436,1183,2022,12,충무로역8번출구.대한극장앞,126.9964922,37.56203716
140,101000065,338,310,342,313,155,142,110,123,중구,945,888,2022,12,중구청앞.덕수중학교,126.9981401,37.5647746
140,101000328,50,158,73,128,30,131,21,108,중구,174,525,2022,12,남산1호터널,126.9921666,37.55740518
140,102000068,1568,271,1382,303,764,153,625,107,용산구,4339,834,2022,12,순천향대학병원,127.0057302,37.53644224
140,102000071,1344,1879,1186,2138,625,1978,437,1941,용산구,3592,7936,2022,12,순천향대학병원.한남오거리,127.005729,37.53549068
140,102000072,619,672,448,760,297,485,257,314,용산구,1621,2231,2022,12,한남5거리,127.0083381,37.53286563
140,107000002,498,660,593,718,342,490,533,376,성북구,1966,2244,2022,12,월곡뉴타운,127.0274048,37.60597826
140,107000003,422,338,342,420,240,256,210,186,성북구,1214,1200,2022,12,길음뉴타운,127.0241682,37.60362623
140,107000005,465,350,313,407,104,248,122,171,성북구,1004,1176,2022,12,미아리고개.미아리예술극장,127.0217091,37.5988113
140,107000008,1009,1129,1137,1218,861,1157,718,1223,성북구,3725,4727,2022,12,돈암사거리.성신여대입구,127.0178391,37.5933063
140,107000009,504,354,422,347,266,197,279,168,성북구,1471,1066,2022,12,삼선교.한성대학교,127.0092322,37.58985251
140,107000010,864,1129,1051,1176,500,1041,523,987,성북구,2938,4333,2022,12,삼선교.한성대학교.조소앙활동터,127.0083738,37.58931282
140,109000003,304,67,371,109,221,105,151,49,도봉구,1047,330,2022,12,도봉한신아파트,127.0459463,37.68405202
140,109000005,586,147,764,129,319,210,257,85,도봉구,1926,571,2022,12,서울북부지방법원.검찰청.도봉역성황당,127.0449209,37.67777463
140,109000007,277,109,300,148,172,146,113,69,도봉구,862,472,2022,12,신도봉사거리,127.0441473,37.67328936
140,109000009,798,220,853,301,600,232,410,128,도봉구,2661,881,2022,12,도봉소방서.방학남부역,127.0429813,37.66633348
140,109000019,528,197,615,228,294,179,250,111,도봉구,1687,715,2022,12,신도봉시장.도봉구청.방학북부역,127.0435775,37.66999884
140,109000406,129,2,141,0,67,2,57,1,도봉구,394,5,2022,12,도봉산역광역환승센터,127.0443522,37.68994836
140,121000001,79,217,71,274,29,167,27,135,서초구,206,793,2022,12,교육개발원입구,127.038482,37.47859
140,121000003,148,429,264,551,179,277,132,219,서초구,723,1476,2022,12,양재역.서초문화예술회관,127.035902,37.48261
140,121000005,83,332,180,404,58,202,42,185,서초구,363,1123,2022,12,뱅뱅사거리,127.032432,37.487667
140,121000217,1817,5,1945,4,735,2,616,2,서초구,5113,13,2022,12,양재2동주민센터.양재꽃시장,127.0394643,37.46958572
140,121000218,4,336,1,436,1,232,4,198,서초구,10,1202,2022,12,시민의숲,127.038353,37.473135
140,121000219,897,19,882,26,305,6,180,8,서초구,2264,59,2022,12,언남고교,127.0389281,37.47327954
140,122000408,88,171,85,146,51,96,57,68,강남구,281,481,2022,12,한남대교전망카페,127.0160049,37.52447753
