노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
340,121000039,195,328,221,440,86,257,66,146,서초구,568,1171,2022,12,롯데칠성,127.02522,37.49507739
340,121000047,303,267,422,220,144,228,74,150,서초구,943,865,2022,12,래미안리더스원아파트,127.0275566,37.49021755
340,121000049,144,473,208,572,108,423,78,342,서초구,538,1810,2022,12,뱅뱅사거리,127.0292981,37.48908585
340,121000055,719,76,827,116,684,67,694,31,서초구,2924,290,2022,12,수협서초지점,127.029385,37.493517
340,122000119,1215,632,1082,469,1180,323,1311,176,강남구,4788,1600,2022,12,한티역3번출구.서울강남고용노동지청,127.0541425,37.49644636
340,122000120,1215,1488,983,1192,1053,925,998,425,강남구,4249,4030,2022,12,삼성아파트입구,127.0595601,37.4981982
340,122000132,1040,886,850,677,842,492,791,287,강남구,3523,2342,2022,12,은마아파트,127.0632606,37.4994452
340,122000143,815,1025,987,757,644,407,426,199,강남구,2872,2388,2022,12,래미안하이스턴.대치순복음교회,127.0638661,37.49994499
340,122000160,918,1461,880,997,814,529,547,282,강남구,3159,3269,2022,12,은마아파트입구사거리,127.0600675,37.49872738
340,122000161,240,477,241,503,213,270,160,138,강남구,854,1388,2022,12,도곡초등학교,127.0566485,37.49768961
340,122000162,610,791,549,930,485,627,351,359,강남구,1995,2707,2022,12,한티역2번출구.서울강남고용노동지청,127.053929,37.49677356
340,122000187,475,502,1024,714,311,583,210,322,강남구,2020,2121,2022,12,역삼럭키아파트.역삼월드메르디앙아파트,127.0387195,37.49183877
340,122000190,374,513,634,625,238,519,144,342,강남구,1390,1999,2022,12,뱅뱅사거리.역삼동,127.0335981,37.49026251
340,122000206,531,240,717,314,575,260,279,181,강남구,2102,995,2022,12,한티역7번출구,127.0513667,37.49589252
340,122000207,327,374,293,539,186,355,110,265,강남구,916,1533,2022,12,역삼중학교.강남세브란스병원,127.0476983,37.49471181
340,122000208,369,521,437,816,192,660,112,413,강남구,1110,2410,2022,12,도곡1차아이파크.역삼청소년수련관,127.0417859,37.49280822
340,122000210,1309,296,1882,482,896,388,536,299,강남구,4623,1465,2022,12,도곡1동주민센터.역삼럭키아파트,127.0390292,37.49158005
340,122000211,1116,140,1300,209,649,198,397,129,강남구,3462,676,2022,12,도곡1차아이파크.도곡중학교,127.0424021,37.49263498
