노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
150,108000001,350,497,303,537,199,323,168,313,강북구,1020,1670,2022,12,수유3동우체국,127.0290427,37.64124178
150,108000003,279,253,296,284,133,121,130,108,강북구,838,766,2022,12,수유역,127.0241165,37.63665909
150,108000004,1147,1198,1387,1374,1082,1306,860,1037,강북구,4476,4915,2022,12,수유역.강북구청,127.0252318,37.63748875
150,108000005,500,294,387,295,199,151,164,141,강북구,1250,881,2022,12,수유시장.성신여대미아캠퍼스앞,127.024172,37.63122621
150,109000011,400,295,402,354,207,243,240,238,도봉구,1249,1130,2022,12,도봉보건소,127.0407624,37.65893642
150,109000012,303,535,388,791,197,831,225,543,도봉구,1113,2700,2022,12,도봉보건소.북한산아이파크아파트,127.040517,37.658205
150,109000013,389,376,387,419,245,252,193,204,도봉구,1214,1251,2022,12,도봉구민회관.도봉문화원,127.0381737,37.65455985
150,109000015,374,614,339,757,203,512,252,424,도봉구,1168,2307,2022,12,쌍문역,127.0347687,37.64881742
150,109000017,299,191,289,233,144,173,149,151,도봉구,881,748,2022,12,우이1교앞,127.0326524,37.645293
150,100000102,455,108,693,95,249,64,123,62,종로구,1520,329,2022,12,원남동,126.9973383,37.57453251
150,100000123,182,493,198,481,188,380,110,179,종로구,678,1533,2022,12,방송통신대.이화장,127.002437,37.578043
150,100000124,380,641,346,797,315,579,271,261,종로구,1312,2278,2022,12,혜화역.마로니에공원,127.0022769,37.58111949
150,100000133,450,365,411,453,546,398,428,215,종로구,1835,1431,2022,12,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977
150,100000392,786,214,586,187,520,133,264,67,종로구,2156,601,2022,12,종로4가.종묘,126.9947219,37.570507
150,107000002,404,540,467,712,357,467,428,313,성북구,1656,2032,2022,12,월곡뉴타운,127.0274048,37.60597826
150,107000003,392,308,291,361,156,233,99,236,성북구,938,1138,2022,12,길음뉴타운,127.0241682,37.60362623
150,107000005,312,300,288,337,86,207,61,198,성북구,747,1042,2022,12,미아리고개.미아리예술극장,127.0217091,37.5988113
150,107000007,392,453,367,474,157,301,163,244,성북구,1079,1472,2022,12,돈암사거리.성신여대입구,127.0181314,37.59374328
