노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
160,108000001,446,606,394,609,309,381,201,210,강북구,1350,1806,2022,12,수유3동우체국,127.0290427,37.64124178
160,108000003,289,298,328,283,156,159,132,92,강북구,905,832,2022,12,수유역,127.0241165,37.63665909
160,108000004,1407,1519,1389,1330,1079,1341,704,985,강북구,4579,5175,2022,12,수유역.강북구청,127.0252318,37.63748875
160,109000011,499,393,496,421,310,286,159,150,도봉구,1464,1250,2022,12,도봉보건소,127.0407624,37.65893642
160,109000012,358,652,421,921,224,754,144,477,도봉구,1147,2804,2022,12,도봉보건소.북한산아이파크아파트,127.040517,37.658205
160,109000013,413,417,421,430,232,265,138,200,도봉구,1204,1312,2022,12,도봉구민회관.도봉문화원,127.0381737,37.65455985
160,109000015,504,801,456,761,321,521,228,320,도봉구,1509,2403,2022,12,쌍문역,127.0347687,37.64881742
160,109000017,330,253,301,268,197,173,160,128,도봉구,988,822,2022,12,우이1교앞,127.0326524,37.645293
160,100000102,714,143,984,125,425,89,190,68,종로구,2313,425,2022,12,원남동,126.9973383,37.57453251
160,100000123,114,619,183,738,119,468,73,260,종로구,489,2085,2022,12,방송통신대.이화장,127.002437,37.578043
160,100000124,302,889,295,1037,205,671,172,385,종로구,974,2982,2022,12,혜화역.마로니에공원,127.0022769,37.58111949
160,100000133,413,487,447,514,340,445,354,310,종로구,1554,1756,2022,12,혜화역.동성중고(장면총리가옥),127.0017177,37.58456977
160,100000392,525,232,574,188,269,124,120,73,종로구,1488,617,2022,12,종로4가.종묘,126.9947219,37.570507
160,100000394,527,394,437,368,344,223,247,145,종로구,1555,1130,2022,12,종로5가.광장시장,126.9988498,37.57075679
160,107000001,486,307,447,307,283,172,273,120,성북구,1489,906,2022,12,월곡뉴타운,127.0282093,37.60690619
160,107000003,506,388,447,428,237,316,135,211,성북구,1325,1343,2022,12,길음뉴타운,127.0241682,37.60362623
160,107000005,464,373,276,395,151,241,93,141,성북구,984,1150,2022,12,미아리고개.미아리예술극장,127.0217091,37.5988113
160,107000007,543,483,472,557,301,265,243,254,성북구,1559,1559,2022,12,돈암사거리.성신여대입구,127.0181314,37.59374328
160,107000009,588,349,558,359,307,206,176,193,성북구,1629,1107,2022,12,삼선교.한성대학교,127.0092322,37.58985251
160,107000010,723,889,858,1139,474,880,338,667,성북구,2393,3575,2022,12,삼선교.한성대학교.조소앙활동터,127.0083738,37.58931282
160,109000001,1416,87,1446,141,1304,150,617,70,도봉구,4783,448,2022,12,도봉산역,127.0454312,37.68919465
160,109000003,382,94,380,142,279,142,230,74,도봉구,1271,452,2022,12,도봉한신아파트,127.0459463,37.68405202
160,109000005,743,184,705,218,349,219,305,119,도봉구,2102,740,2022,12,서울북부지방법원.검찰청.도봉역성황당,127.0449209,37.67777463
160,109000007,372,172,242,181,155,190,126,120,도봉구,895,663,2022,12,신도봉사거리,127.0441473,37.67328936
160,109000009,941,372,916,308,698,307,515,160,도봉구,3070,1147,2022,12,도봉소방서.방학남부역,127.0429813,37.66633348
160,109000019,655,236,583,250,392,216,295,119,도봉구,1925,821,2022,12,신도봉시장.도봉구청.방학북부역,127.0435775,37.66999884
160,109000406,245,2,282,9,180,9,90,1,도봉구,797,21,2022,12,도봉산역광역환승센터,127.0443522,37.68994836
160,100000388,575,666,581,705,399,360,638,220,종로구,2193,1951,2022,12,종로2가,126.9855427,37.57013868
160,100000387,1227,648,1514,637,825,364,690,307,종로구,4256,1956,2022,12,종로1가,126.9813906,37.57022903
160,100000379,1653,411,1632,379,839,227,649,127,종로구,4773,1144,2022,12,서울역사박물관.경희궁앞,126.970609,37.569412
160,100000385,779,691,909,687,703,367,706,230,종로구,3097,1975,2022,12,광화문,126.9780855,37.57021681
160,116000001,1843,1148,2560,1509,2337,1004,1751,735,구로구,8491,4396,2022,12,신도림역,126.8894233,37.50975233
160,116000156,141,559,252,794,147,982,116,659,구로구,656,2994,2022,12,연세중앙교회,126.8359814,37.49330279
160,118000001,256,172,243,122,174,54,162,66,영등포구,835,414,2022,12,문래동남성아파트,126.893705,37.511828
160,118000003,1234,384,1764,371,505,155,279,131,영등포구,3782,1041,2022,12,남부지방법원등기국.구로세무서(에이스하이테크시티),126.9011874,37.51448389
160,118000005,1784,1024,1915,1045,1338,419,1405,281,영등포구,6442,2769,2022,12,영등포역,126.9056182,37.51601191
160,118000008,3411,1572,3256,1705,1748,960,1475,829,영등포구,9890,5066,2022,12,여의도환승센터,126.9246697,37.52605934
160,118000199,3048,604,2041,429,2261,257,1964,167,영등포구,9314,1457,2022,12,파크원타워.LG트윈타워,126.927025,37.52695606
