노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
152,107000003,588,1108,563,741,486,426,317,296,성북구,1954,2571,2022,12,길음뉴타운,127.0241682,37.60362623
152,107000005,384,441,333,385,325,289,217,158,성북구,1259,1273,2022,12,미아리고개.미아리예술극장,127.0217091,37.5988113
152,107000007,493,835,430,768,324,503,266,356,성북구,1513,2462,2022,12,돈암사거리.성신여대입구,127.0181314,37.59374328
152,101000041,850,450,1325,511,1002,341,1337,291,중구,4514,1593,2022,12,롯데백화점,126.9820649,37.5644918
152,101000043,530,248,690,304,728,210,857,160,중구,2805,922,2022,12,롯데영프라자,126.982008,37.562885
152,102000001,317,225,561,332,206,274,161,169,용산구,1245,1000,2022,12,한강대교북단.LG유플러스,126.9631917,37.5240898
152,102000003,249,384,319,539,314,310,182,198,용산구,1064,1431,2022,12,신용산역,126.966207,37.527293
152,102000005,121,213,160,319,166,168,128,118,용산구,575,818,2022,12,KT용산지사,126.970235,37.53149701
152,102000007,112,407,146,567,176,389,102,283,용산구,536,1646,2022,12,삼각지역,126.9740118,37.5352699
152,102000009,233,406,264,455,181,356,137,312,용산구,815,1529,2022,12,숙대입구역,126.9725378,37.54329563
152,102000011,168,167,268,127,155,118,130,75,용산구,721,487,2022,12,갈월동,126.9722373,37.5509756
152,102000247,100,162,92,151,154,120,157,65,용산구,503,498,2022,12,노들섬,126.9585926,37.51767125
152,119000013,122,167,132,186,89,162,96,102,동작구,439,617,2022,12,노들역,126.949256,37.512825
152,100000365,431,399,312,502,214,549,144,313,종로구,1101,1763,2022,12,동대문(흥인지문),127.0120461,37.57195293
152,100000367,434,367,402,345,223,300,165,140,종로구,1224,1152,2022,12,동묘앞,127.019672,37.57424345
152,100000397,499,258,407,220,225,118,236,81,종로구,1367,677,2022,12,종로6가.동대문종합시장,127.0057137,37.57112723
152,100000398,546,546,528,762,498,633,404,593,종로구,1976,2534,2022,12,동대문역.흥인지문,127.0134512,37.57230232
152,101000032,567,209,480,260,366,132,470,150,중구,1883,751,2022,12,북창동.남대문시장,126.97792,37.561175
152,101000057,442,136,808,161,435,73,651,74,중구,2336,444,2022,12,을지로입구.로얄호텔,126.9853903,37.56587574
152,101000059,934,351,1449,370,519,318,449,240,중구,3351,1279,2022,12,을지로2가.기업은행본점.서울노동청,126.9865234,37.56624623
152,101000060,568,182,787,214,549,102,515,99,중구,2419,597,2022,12,을지로2가.파인에비뉴,126.9888282,37.56600948
152,101000061,368,494,675,515,389,308,364,205,중구,1796,1522,2022,12,을지로3가,126.9903756,37.56635564
152,101000064,479,122,676,141,408,131,333,110,중구,1896,504,2022,12,을지로4가.베스트웨스턴국도,126.9968473,37.56640104
152,101000066,267,135,302,188,221,83,117,70,중구,907,476,2022,12,을지로5가,126.9992585,37.56681829
152,101000067,316,171,254,197,202,135,130,168,중구,902,671,2022,12,을지로5가.중부시장,127.001115,37.56662004
152,101000070,308,207,343,246,330,238,291,203,중구,1272,894,2022,12,을지로6가.국립중앙의료원,127.0063778,37.56607471
152,101000075,583,229,719,330,771,358,695,302,중구,2768,1219,2022,12,동대문역사문화공원,127.0090235,37.5676037
152,101000114,404,253,323,238,226,161,207,123,중구,1160,775,2022,12,남대문시장앞.이회영활동터,126.9785804,37.56093942
152,101000163,445,295,449,281,213,97,191,50,중구,1298,723,2022,12,방산종합시장,127.0019301,37.56780587
152,107000033,522,492,709,486,688,452,592,386,성북구,2511,1816,2022,12,돈암동삼성아파트입구,127.0245753,37.60187443
152,107000081,554,229,428,207,289,145,195,89,성북구,1466,670,2022,12,미아초교,127.022039,37.61153187
152,107000083,359,176,326,169,207,92,122,45,성북구,1014,482,2022,12,길음동동부아파트,127.0232734,37.60786358
152,107000085,518,502,537,524,338,374,228,223,성북구,1621,1623,2022,12,삼선동주민센터,127.0143473,37.59061071
152,107000087,496,270,743,328,305,181,245,165,성북구,1789,944,2022,12,성북구청.성북경찰서,127.0172593,37.58824316
152,107000089,426,324,409,509,289,244,227,197,성북구,1351,1274,2022,12,보문역,127.0189209,37.58585142
152,107000091,406,300,401,365,372,243,216,185,성북구,1395,1093,2022,12,보문동성당,127.0207962,37.58239632
152,107000093,455,340,508,382,261,211,155,150,성북구,1379,1083,2022,12,보문동주민센터,127.0218635,37.5804515
152,108000123,407,9,276,3,177,5,125,5,강북구,985,22,2022,12,수유중학교혜화여고,127.0136369,37.63192828
152,108000124,0,323,0,340,0,339,1,300,강북구,1,1302,2022,12,혜화여고,127.0138249,37.6316309
152,108000125,175,22,140,34,103,8,37,2,강북구,455,66,2022,12,서울정인학교,127.013002,37.62921339
152,108000126,5,285,5,400,1,379,1,409,강북구,12,1473,2022,12,우광타운,127.0131039,37.62915301
152,108000127,244,51,188,51,127,23,115,14,강북구,674,139,2022,12,구세군강북종합사회복지관입구,127.012386,37.62477382
152,108000130,238,26,216,47,122,27,72,9,강북구,648,109,2022,12,미양중고등학교.팔팔·미송경로당,127.013027,37.62326083
152,108000131,364,191,276,157,227,135,112,60,강북구,979,543,2022,12,동북프라자,127.0182419,37.61987206
152,108000132,721,498,629,525,661,524,559,408,강북구,2570,1955,2022,12,동북시장,127.0189069,37.61995306
152,108000133,325,172,211,139,205,124,118,53,강북구,859,488,2022,12,두산위브아파트입구,127.0163558,37.620003
152,108000135,472,161,436,115,301,78,151,53,강북구,1360,407,2022,12,삼각산동SK아파트북한산시티미양초등학교,127.012741,37.62017104
152,108000136,307,548,504,672,542,666,429,527,강북구,1782,2413,2022,12,삼양동벽산라이브파크미양초등학교,127.012798,37.620315
152,117000050,64,1010,74,1278,40,1440,32,1149,금천구,210,4877,2022,12,벽산아파트1단지.호압사입구,126.9207601,37.45275737
152,117000052,12,354,11,533,8,719,5,518,금천구,36,2124,2022,12,벽산아파트5단지,126.9188451,37.44671954
152,119000024,246,1021,350,1135,213,693,177,593,동작구,986,3442,2022,12,노량진역,126.941757,37.51339143
152,119000027,55,182,61,180,62,157,30,116,동작구,208,635,2022,12,사육신공원,126.947977,37.513315
