노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
130,104000001,837,580,743,564,628,425,568,288,광진구,2776,1857,2022,12,군자교입구,127.0756461,37.55874099
130,104000003,808,603,730,579,562,392,600,364,광진구,2700,1938,2022,12,군자역4번출구.용마초등학교,127.0824731,37.55609891
130,104000004,731,888,943,1001,826,744,516,493,광진구,3016,3126,2022,12,군자역5번출구.용마초등학교,127.0815655,37.55622299
130,104000005,454,557,490,518,335,367,191,326,광진구,1470,1768,2022,12,중곡동입구삼거리,127.0865505,37.55449655
130,104000006,995,1022,805,980,847,702,864,782,광진구,3511,3486,2022,12,어린이대공원후문아차산역,127.0901492,37.55120847
130,104000295,434,620,413,716,304,474,223,371,광진구,1374,2181,2022,12,새밭교회,127.0926145,37.54895793
130,104000297,511,1351,643,1388,435,982,373,696,광진구,1962,4417,2022,12,광나루역,127.1032684,37.54517675
130,105000001,1366,716,1295,510,916,417,820,315,동대문구,4397,1958,2022,12,답십리역사거리,127.0550605,37.56518709
130,105000002,962,629,1347,528,752,379,502,321,동대문구,3563,1857,2022,12,청년회의소,127.0612838,37.56196532
130,105000003,1411,720,1533,758,1085,455,799,399,동대문구,4828,2332,2022,12,장한평역,127.067287,37.56115106
130,105000004,197,510,223,486,112,278,95,208,동대문구,627,1482,2022,12,신답초등학교.청계한신휴플러스,127.044292,37.571753
130,105000017,562,392,1093,386,491,275,379,221,동대문구,2525,1274,2022,12,동대문구청,127.0399889,37.57345887
130,105000079,967,1089,1014,822,458,595,529,478,동대문구,2968,2984,2022,12,동대문구청.용신동주민센터,127.0384169,37.57658077
130,105000083,1314,420,1132,290,468,168,277,145,동대문구,3191,1023,2022,12,경동시장,127.0382839,37.57996441
130,105000084,331,312,327,430,96,318,97,292,동대문구,851,1352,2022,12,홍파초등학교,127.038639,37.585531
130,105000086,288,291,266,357,154,247,149,183,동대문구,857,1078,2022,12,제기동한신아파트앞,127.037888,37.587603
130,105000087,844,577,1136,706,842,571,496,395,동대문구,3318,2249,2022,12,고려대역.고대앞삼거리,127.0364737,37.59025629
130,107000058,548,604,631,679,539,511,608,471,성북구,2326,2265,2022,12,성가복지병원,127.0311379,37.60588272
130,107000060,725,668,778,723,446,504,433,576,성북구,2382,2471,2022,12,종암사거리입구,127.0330444,37.60143263
130,107000062,444,322,521,369,385,300,318,377,성북구,1668,1368,2022,12,종암동주민센터,127.0341075,37.59941526
130,107000064,687,298,677,333,451,300,273,265,성북구,2088,1196,2022,12,숭례초교,127.0356812,37.59480527
130,107000065,796,852,912,1125,492,847,297,677,성북구,2497,3501,2022,12,숭례초등학교,127.0361702,37.59439692
130,108000001,537,661,591,722,525,557,448,445,강북구,2101,2385,2022,12,수유3동우체국,127.0290427,37.64124178
130,108000003,525,343,527,388,365,273,325,167,강북구,1742,1171,2022,12,수유역,127.0241165,37.63665909
130,108000005,935,488,873,410,557,369,492,264,강북구,2857,1531,2022,12,수유시장.성신여대미아캠퍼스앞,127.024172,37.63122621
130,108000194,31,1,53,0,43,7,27,2,강북구,154,10,2022,12,우이동차고지기점,127.012021,37.662987
130,108000199,0,114,0,125,0,119,1,60,강북구,1,418,2022,12,우이동차고지종점,127.0119977,37.66318995
130,108000378,905,1014,961,1253,806,901,778,775,강북구,3450,3943,2022,12,수유(강북구청)역,127.0261001,37.63847705
130,109000011,960,371,1118,357,790,212,570,176,도봉구,3438,1116,2022,12,도봉보건소,127.0407624,37.65893642
130,109000012,412,776,440,1054,299,1029,286,536,도봉구,1437,3395,2022,12,도봉보건소.북한산아이파크아파트,127.040517,37.658205
130,109000013,635,623,753,627,432,397,450,264,도봉구,2270,1911,2022,12,도봉구민회관.도봉문화원,127.0381737,37.65455985
130,109000015,642,1803,698,1951,655,1201,550,821,도봉구,2545,5776,2022,12,쌍문역,127.0347687,37.64881742
130,109000017,516,257,424,265,414,228,340,188,도봉구,1694,938,2022,12,우이1교앞,127.0326524,37.645293
130,124000023,1224,228,1222,225,663,166,509,112,강동구,3618,731,2022,12,길동사거리.강동세무서,127.1375233,37.53444568
130,124000025,1078,676,970,571,698,368,597,269,강동구,3343,1884,2022,12,강동역1번출구.동신중학교,127.1321595,37.53615127
130,124000027,1806,1049,1476,1177,1225,696,1464,461,강동구,5971,3383,2022,12,천호역5번출구.천호사거리,127.1271403,37.53775533
130,124000112,559,862,705,1288,436,1042,273,617,강동구,1973,3809,2022,12,강동주유소,127.1399376,37.54088748
130,124000114,242,885,265,1090,158,1069,122,664,강동구,787,3708,2022,12,천동초등학교.천호도서관,127.136948,37.540437
130,124000115,224,882,221,1024,153,1084,142,772,강동구,740,3762,2022,12,강동성심병원(동신중학교),127.1355,37.537458
130,124000129,1363,740,1410,887,932,667,773,477,강동구,4478,2771,2022,12,길동역1번출구,127.1399401,37.53797243
130,124000131,828,136,854,185,470,152,380,143,강동구,2532,616,2022,12,예닮요양병원,127.1389352,37.53552534
130,124000366,579,884,680,1003,644,773,471,640,강동구,2374,3300,2022,12,강동역,127.1318083,37.53595432
130,124000452,1273,285,1082,228,1052,158,900,123,강동구,4307,794,2022,12,천호역1번출구.문구거리,127.1219098,37.53946346
130,124000454,1256,2837,1697,3266,1282,2462,1193,1556,강동구,5428,10121,2022,12,천호역,127.1261773,37.53774465
130,108000384,70,48,72,60,57,91,34,30,도봉구,233,229,2022,12,한국사회봉사회,127.0147587,37.66181384
