노선번호,정류소ID,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,자치구,퇴근시간대승차총승객수,퇴근시간대하차총승객수,year,month,정류소명,longitude,latitude
272,107000010,1376,2719,1257,3160,1074,2277,905,2102,성북구,4612,10258,2022,12,삼선교.한성대학교.조소앙활동터,127.0083738,37.58931282
272,107000085,814,1156,851,1336,615,1197,601,895,성북구,2881,4584,2022,12,삼선동주민센터,127.0143473,37.59061071
272,107000087,818,804,1177,912,503,691,555,535,성북구,3053,2942,2022,12,성북구청.성북경찰서,127.0172593,37.58824316
272,107000089,494,838,481,1183,360,834,280,704,성북구,1615,3559,2022,12,보문역,127.0189209,37.58585142
272,107000091,474,507,532,535,335,461,309,425,성북구,1650,1928,2022,12,보문동성당,127.0207962,37.58239632
272,107000093,552,475,674,505,406,414,305,372,성북구,1937,1766,2022,12,보문동주민센터,127.0218635,37.5804515
272,100000022,875,665,1053,485,613,260,609,177,종로구,3150,1587,2022,12,경복궁,126.9787471,37.57557679
272,100000032,1115,2452,1354,2046,840,1010,866,871,종로구,4175,6379,2022,12,서울경찰청.경복궁역,126.9714843,37.57574466
272,100000033,324,1283,398,954,191,437,251,376,종로구,1164,3050,2022,12,사직단,126.968189,37.57485535
272,100000035,1062,314,1250,293,777,168,613,128,종로구,3702,903,2022,12,덕성여중고,126.982017,37.57590175
272,100000036,1427,755,1673,672,1272,517,1150,346,종로구,5522,2290,2022,12,안국역.종로경찰서.서울공예박물관,126.9839958,37.57606956
272,100000104,1354,902,1353,737,996,370,1010,263,종로구,4713,2272,2022,12,안국역.종로경찰서.인사동,126.9842426,37.5757849
272,100000128,818,693,741,589,331,338,299,228,종로구,2189,1848,2022,12,창경궁.서울대학교병원,126.9968717,37.57882799
272,100000131,1641,1822,1643,1895,1458,1225,1569,885,종로구,6311,5827,2022,12,명륜동2가.성균관대입구,126.9993988,37.58333349
272,105000010,593,510,663,764,351,533,322,374,동대문구,1929,2181,2022,12,중랑교,127.0669235,37.59136575
272,105000012,841,526,777,606,648,530,507,512,동대문구,2773,2174,2022,12,삼육서울병원,127.0620677,37.5899573
272,105000013,227,294,242,320,110,197,91,170,동대문구,670,981,2022,12,시조사삼거리,127.056888,37.588707
272,105000014,339,220,309,299,147,215,137,164,동대문구,932,898,2022,12,떡전교사거리.동대문노인복지관,127.0521095,37.58649833
272,105000015,1132,914,1515,785,947,418,979,366,동대문구,4573,2483,2022,12,청량리역환승센타,127.0454307,37.58040251
272,105000018,690,284,928,305,471,138,394,128,동대문구,2483,855,2022,12,신설동역,127.0255837,37.57645359
272,105000030,324,427,395,536,303,423,242,364,동대문구,1264,1750,2022,12,서울성심병원,127.0508977,37.58460747
272,105000033,391,511,352,595,226,461,131,350,동대문구,1100,1917,2022,12,휘경동입구,127.0550615,37.58769217
272,107000222,152,480,165,598,226,450,164,297,성북구,707,1825,2022,12,돈암초교입구,127.0122536,37.59108222
